t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,340.8161,1.086422e+04,3.870080e+02,P_CO2,2.283111e-03,1.730508e+00,0.2281%,5.357915e-02,5.457402e-02,1.394100e-03,4.545393e-15,5.146898e-08,6.788833e-04,1.652978e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.400832e-15,1.722020e-29,1.347697e-15,8.626041e-29,7.037302e-20,8.510223e-16,2.117514e-17,-1.252934e-40,-1.742746e-15,-8.716168e-16,-1.345007e-15,-5.077437e-30,-6.994763e-20,-8.500182e-16,-2.105820e-17,-5.054670e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.580861e-16,6.790161e-16,2.690501e-18,8.118297e-29,4.253905e-22,1.004055e-18,1.169364e-19,-5.054670e-30
4.4200,24.00,342.2585,2.486350e+04,1.288567e+00,P_CO2,2.589865e-03,1.701979e+00,0.2587%,9.870063e-02,1.013329e-01,1.730462e-03,1.258361e-14,8.467251e-08,8.103690e-04,2.353160e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.412357e-15,-5.546756e-17,1.563169e-15,1.324498e-28,1.014362e-19,9.114352e-16,2.713291e-17,-4.898845e-31,-1.878369e-15,-9.397067e-16,-1.560918e-15,-5.601622e-30,-1.012160e-19,-9.115037e-16,-2.709575e-17,-5.532122e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.339880e-16,5.554586e-16,2.250439e-18,1.268481e-28,2.201910e-22,-6.855318e-20,3.716343e-20,-6.022006e-30
7.3000,28.80,343.8599,4.040658e+04,6.251362e-01,P_CO2,2.921310e-03,1.685491e+00,0.2917%,1.420343e-01,1.464137e-01,2.149442e-03,2.571657e-14,1.126833e-07,9.178404e-04,2.926142e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.286048e-15,-1.784843e-16,1.765589e-15,1.652676e-28,1.167737e-19,9.028031e-16,2.948562e-17,-1.566592e-30,-1.865458e-15,-9.334998e-16,-1.763400e-15,-5.657257e-30,-1.166265e-19,-9.024459e-16,-2.945391e-17,-5.514443e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.205908e-16,4.386488e-16,2.189018e-18,1.596103e-28,1.471462e-22,3.572187e-19,3.170498e-20,-7.081035e-30
10.7560,34.56,345.5004,5.632890e+04,3.940526e-01,P_CO2,3.266739e-03,1.668515e+00,0.3261%,1.818840e-01,1.879511e-01,2.680976e-03,4.450901e-14,1.369042e-07,1.065919e-03,3.447835e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.181791e-15,-2.888367e-16,1.961879e-15,1.890949e-28,1.213070e-19,9.046081e-16,2.987369e-17,-2.520969e-30,-1.870256e-15,-9.361381e-16,-1.959879e-15,-5.780492e-30,-1.212489e-19,-9.042054e-16,-2.987000e-17,-5.530037e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.115350e-16,3.256581e-16,1.999889e-18,1.833144e-28,5.807688e-23,4.026818e-19,3.689574e-21,-8.051006e-30
14.9032,41.47,346.9914,7.079935e+04,1.000000e+00,Mg,3.579137e-03,1.645959e+00,0.3573%,2.157350e-01,2.233484e-01,3.321747e-03,6.967274e-14,1.564240e-07,1.219631e-03,1.633457e-06,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.995979e-15,-4.230481e-16,2.127043e-15,2.051476e-28,1.173366e-19,8.816263e-16,-2.319328e-19,-3.675747e-30,-1.958403e-15,-9.804796e-16,-2.158784e-15,-6.219958e-30,-1.201661e-19,-9.220585e-16,-5.584666e-17,-5.803184e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.757611e-17,1.471052e-16,-3.174146e-17,1.989276e-28,-2.829433e-21,-4.043221e-17,-5.607859e-17,-9.478931e-30
16.9768,20.74,347.7104,7.777808e+04,9.857062e-02,P_CO2,3.705613e-03,1.620528e+00,0.3699%,2.277786e-01,2.361586e-01,2.170314e-03,8.328860e-14,1.068933e-07,8.590044e-04,2.919595e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.427062e-15,-2.405713e-16,2.230275e-15,2.179308e-28,1.424542e-19,1.087722e-15,3.797156e-17,-2.086105e-30,-2.254046e-15,-1.128579e-15,-2.229366e-15,-7.236251e-30,-1.424499e-19,-1.087480e-15,-3.796772e-17,-6.659526e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.730164e-16,1.814823e-16,9.098445e-19,2.106946e-28,4.291219e-24,2.419178e-19,3.849866e-21,-8.745631e-30
19.4651,24.88,348.3005,8.350521e+04,7.363413e-02,P_CO2,3.847621e-03,1.616493e+00,0.3840%,2.399038e-01,2.488135e-01,2.481543e-03,1.000700e-13,1.185216e-07,9.658682e-04,3.189201e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.360366e-15,-2.954626e-16,2.302656e-15,2.240220e-28,1.380631e-19,1.075584e-15,3.634150e-17,-2.556998e-30,-2.226542e-15,-1.114895e-15,-2.301777e-15,-7.261397e-30,-1.380376e-19,-1.075309e-15,-3.633035e-17,-6.572131e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.338233e-16,1.402751e-16,8.787139e-19,2.167606e-28,2.547359e-23,2.747298e-19,1.114818e-20,-9.129129e-30
22.4511,29.86,348.8432,8.877265e+04,6.307921e-02,P_CO2,3.984857e-03,1.614107e+00,0.3977%,2.508164e-01,2.601935e-01,2.869031e-03,1.207718e-13,1.317936e-07,1.091554e-03,3.483175e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.277890e-15,-3.570293e-16,2.369271e-15,2.301308e-28,1.324883e-19,1.054802e-15,3.432431e-17,-3.084044e-30,-2.181082e-15,-1.092208e-15,-2.368476e-15,-7.254368e-30,-1.324499e-19,-1.054561e-15,-3.431541e-17,-6.432301e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.680805e-17,1.013953e-16,7.948840e-19,2.228764e-28,3.845166e-23,2.412060e-19,8.906557e-21,-9.516345e-30
26.0343,35.83,349.3028,9.323325e+04,5.024744e-02,P_CO2,4.108740e-03,1.613996e+00,0.4100%,2.599333e-01,2.696843e-01,3.345425e-03,1.463096e-13,1.467346e-07,1.235240e-03,3.795400e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.178141e-15,-4.247049e-16,2.425060e-15,2.364906e-28,1.258700e-19,1.023482e-15,3.197158e-17,-3.662617e-30,-2.113999e-15,-1.058677e-15,-2.424505e-15,-7.205806e-30,-1.258654e-19,-1.023352e-15,-3.198133e-17,-6.229902e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.414232e-17,6.725132e-17,5.544234e-19,2.292848e-28,4.617615e-24,1.295386e-19,-9.746766e-21,-9.892519e-30
30.3341,43.00,349.5961,9.607979e+04,1.000000e+00,Mg,4.168743e-03,1.606641e+00,0.4160%,2.665523e-01,2.766513e-01,3.888602e-03,1.778608e-13,1.616573e-07,1.351717e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.958435e-15,-5.317770e-16,2.441083e-15,2.422556e-28,1.172224e-19,9.490585e-16,-3.647478e-18,-4.582932e-30,-2.145304e-15,-1.074410e-15,-2.490858e-15,-7.568090e-30,-1.197310e-19,-1.011835e-15,-5.908462e-17,-6.342788e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.868695e-16,-5.555449e-17,-4.977483e-17,2.346875e-28,-2.508529e-21,-6.277609e-17,-6.273210e-17,-1.092572e-29
