# Generated by make_crust_compositions.jl -- do not edit by hand.
# isobaric 1.0 GPa, F_TARGET=0.2, batch melting
# delta_iw is the CORE-FORMATION fO2, which sets mantle FeO.
# T_melt is the melting temperature at that pressure, NOT a potential temperature.
mg_si,delta_iw,mantle_feo,T_melt,melt_fraction,residual_phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,CaO_Al2O3
1.1,-2.4,5.1268,1364,0.199953,ol;opx,50.0183,0.939394,14.2232,0.120959,5.7698,14.0222,12.9739,1.7821,0.1501,0.9122
1.1,-2.3,5.7411,1360,0.199911,opx;ol,49.7659,0.936311,14.2034,0.120957,6.37368,13.759,12.919,1.77272,0.149123,0.9096
1.1,-2.2,6.4276,1355,0.199679,opx;ol,49.4796,0.933749,14.1956,0.120455,7.01875,13.4697,12.875,1.75921,0.147887,0.9070
1.1,-2.1,7.1942,1350,0.199938,opx;ol,49.1872,0.924366,14.1728,0.120873,7.72522,13.1688,12.8095,1.74507,0.146111,0.9038
1.1,-2,8.0500,1344,0.200001,ol;opx,48.8638,0.91946,14.1578,0.121537,8.47671,12.8387,12.7465,1.73031,0.145166,0.9003
1.1,-1.9,9.0046,1338,0.199945,opx;ol,48.51,0.91191,14.1591,0.121981,9.27726,12.479,12.6815,1.71497,0.144285,0.8956
1.1,-1.8,10.0688,1331,0.199767,ol;opx,48.1253,0.905792,14.1696,0.1231,10.1261,12.0901,12.6175,1.70033,0.142072,0.8905
1.1,-1.7,11.2542,1324,0.200125,opx;ol,47.7194,0.896339,14.1745,0.125654,11.026,11.6954,12.5452,1.67734,0.140196,0.8851
1.1,-1.6,12.5736,1315,0.199609,ol;opx;spl,47.315,0.89229,14.1966,0.118772,11.9386,11.2385,12.5017,1.66045,0.138171,0.8806
1.1,-1.5,14.0405,1306,0.200004,opx;ol;spl,46.9377,0.876989,14.1961,0.107498,12.8813,10.7821,12.4473,1.63472,0.136197,0.8768
1.1,-1.4,15.6699,1298,0.200015,opx;ol;spl;cpx,46.5659,0.859877,14.1981,0.0968596,13.8993,10.3532,12.2902,1.60339,0.133144,0.8656
1.1,-1.3,17.4776,1290,0.199635,opx;spl;cpx;ol,46.1618,0.842035,14.2428,0.0857575,14.941,9.90031,12.1258,1.57013,0.130378,0.8514
1.1,-1.2,19.4805,1282,0.200905,spl;cpx;opx;ol,45.7442,0.817958,14.2797,0.0754031,16.0177,9.44495,11.9695,1.52456,0.126072,0.8382
1.1,-1.1,21.6965,1272,0.20009,ol;spl;cpx;opx,45.2751,0.792897,14.4349,0.0637867,17.0618,8.95288,11.8094,1.48614,0.123205,0.8181
1.1,-1,24.1443,1262,0.199583,ol;spl;opx;cpx,44.7648,0.76601,14.6545,0.0521287,18.1011,8.44398,11.6558,1.44242,0.119203,0.7954
1.2,-5,0.2609,1387,0.20032,opx;ol,51.273,0.988587,15.4268,0.145605,0.306055,15.8192,14.001,1.88209,0.157603,0.9076
1.2,-4.5,0.4637,1385,0.200062,opx;ol,51.1733,0.989428,15.4203,0.144626,0.541467,15.7075,13.9848,1.88091,0.157705,0.9069
1.2,-4,0.8236,1382,0.199858,opx;ol,50.9929,0.98677,15.4145,0.144344,0.952676,15.5195,13.9557,1.87659,0.157028,0.9054
1.2,-3.5,1.4617,1377,0.199885,opx;ol,50.6911,0.982772,15.3918,0.144133,1.66474,15.2119,13.8929,1.86414,0.156528,0.9026
1.2,-3,2.5901,1368,0.199785,opx;ol,50.1748,0.973453,15.3591,0.143965,2.87913,14.6813,13.789,1.84538,0.153871,0.8978
