t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,298.8290,3.454764e+03,1.223844e+02,P_CO2,1.186491e-03,1.797244e+00,0.1186%,8.124325e-03,9.262518e-03,1.352003e-04,1.946444e-15,1.125895e-07,2.065217e-03,6.522539e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.156570e-16,3.943425e-27,8.152012e-17,3.157918e-29,4.020545e-20,5.739097e-17,6.149205e-18,9.104655e-40,-1.554503e-16,-7.770815e-17,-7.623568e-17,-6.833404e-31,-4.813451e-20,-7.076480e-17,-6.933699e-18,-6.819663e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.020663e-17,7.735515e-17,5.284445e-18,3.089584e-29,-7.929065e-21,-1.337383e-17,-7.844937e-19,-6.819663e-31
4.4200,24.00,300.3742,3.734633e+03,3.177398e-01,C,1.326999e-03,1.779788e+00,0.1326%,1.312082e-02,1.427835e-02,1.583355e-04,4.219785e-15,5.070171e-08,8.502039e-04,2.945528e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.357718e-16,6.982215e-27,9.088303e-17,3.066489e-29,4.031718e-20,6.434935e-17,7.125912e-18,5.687068e-38,-1.605874e-16,-8.028406e-17,-9.094426e-17,-6.968267e-31,-4.058560e-20,-7.289184e-17,-7.373715e-18,-6.939083e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.518441e-17,7.477923e-17,-6.123145e-20,2.996806e-29,-2.684241e-22,-8.542488e-18,-2.478029e-19,-6.939082e-31
7.3000,28.80,300.3731,3.734436e+03,3.506129e-01,C,1.330700e-03,1.788322e+00,0.1330%,2.033617e-02,2.146513e-02,1.704153e-04,6.922360e-15,4.321523e-08,4.363494e-04,1.800457e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.299193e-16,-1.033212e-29,9.104690e-17,2.995942e-29,3.882895e-20,6.468473e-17,7.312327e-18,-6.264671e-41,-1.491227e-16,-7.455586e-17,-9.100521e-17,-6.263243e-31,-3.891215e-20,-6.714481e-17,-7.385040e-18,-6.221635e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.079666e-17,8.050743e-17,4.168504e-20,2.933310e-29,-8.319910e-23,-2.460075e-18,-7.271245e-20,-6.221635e-31
10.1800,28.80,300.8399,3.818979e+03,3.467976e-01,C,1.375452e-03,1.784687e+00,0.1375%,2.768115e-02,2.878014e-02,1.753089e-04,9.552581e-15,3.807349e-08,2.924281e-04,1.370199e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.306506e-16,1.956214e-27,9.394946e-17,2.906811e-29,3.710266e-20,6.675092e-17,7.386663e-18,1.169405e-40,-1.504141e-16,-7.520633e-17,-9.388810e-17,-6.043703e-31,-3.714268e-20,-6.775517e-17,-7.417163e-18,-5.986401e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.023650e-17,7.985696e-17,6.135956e-20,2.846374e-29,-4.001520e-23,-1.004247e-18,-3.049965e-20,-5.986401e-31
13.6360,34.56,301.5177,3.941739e+03,3.328564e-01,C,1.441740e-03,1.777163e+00,0.1441%,3.634992e-02,3.739794e-02,1.985800e-04,1.260244e-14,4.034455e-08,2.312921e-04,1.263567e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.331986e-16,1.137888e-24,9.823601e-17,2.797615e-29,3.477213e-20,6.973099e-17,7.378503e-18,3.680285e-38,-1.552202e-16,-7.761487e-17,-9.815943e-17,-5.850752e-31,-3.479688e-20,-7.017960e-17,-7.392439e-18,-5.777656e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.797841e-17,7.744842e-17,7.658733e-20,2.739108e-29,-2.475344e-23,-4.486035e-19,-1.393620e-20,-5.777656e-31
17.7832,41.47,302.3700,4.096116e+03,3.128487e-01,C,1.528579e-03,1.766812e+00,0.1527%,4.637979e-02,4.734533e-02,2.300194e-04,1.610871e-14,4.336848e-08,2.068990e-04,1.274305e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.368946e-16,8.036091e-30,1.038205e-16,2.669329e-29,3.212883e-20,7.358092e-17,7.315925e-18,2.088224e-41,-1.623007e-16,-8.116087e-17,-1.037333e-16,-5.609472e-31,-3.215244e-20,-7.378560e-17,-7.323355e-18,-5.520040e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.459393e-17,7.390242e-17,8.719163e-20,2.613235e-29,-2.361006e-23,-2.046798e-19,-7.429965e-21,-5.520040e-31
22.7598,49.77,303.4030,4.283203e+03,2.877186e-01,C,1.639542e-03,1.753656e+00,0.1638%,5.780170e-02,5.864107e-02,2.723676e-04,2.010347e-14,4.659677e-08,2.059373e-04,1.357413e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.416730e-16,1.974582e-28,1.108976e-16,2.522441e-29,2.922803e-20,7.843807e-17,7.192559e-18,8.352894e-42,-1.715092e-16,-8.577084e-17,-1.107815e-16,-5.301994e-31,-2.924814e-20,-7.851374e-17,-7.196493e-18,-5.196718e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.016377e-17,6.929245e-17,1.161571e-19,2.469421e-29,-2.011500e-23,-7.567143e-20,-3.934242e-21,-5.196718e-31
28.7318,59.72,304.6322,4.505835e+03,2.573674e-01,C,1.780186e-03,1.737282e+00,0.1779%,7.055853e-02,7.121509e-02,3.295255e-04,2.460896e-14,4.962503e-08,2.238346e-04,1.488725e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.476192e-16,2.100749e-26,1.197682e-16,2.358123e-29,2.613964e-20,8.450747e-17,6.996719e-18,2.547633e-40,-1.831255e-16,-9.158426e-17,-1.196393e-16,-4.942185e-31,-2.616102e-20,-8.451625e-17,-6.999675e-18,-4.822298e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.449370e-17,6.347903e-17,1.289115e-19,2.308702e-29,-2.137838e-23,-8.774015e-21,-2.955746e-21,-4.822298e-31
35.8982,71.66,299.8056,3.631649e+03,4.695024e-01,Si,1.122266e-03,1.600392e+00,0.1122%,8.420619e-02,8.471373e-02,2.540559e-04,2.967612e-14,6.171859e-08,1.773304e-04,1.548436e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.530395e-16,7.796891e-25,7.620306e-17,2.429062e-29,2.716130e-20,5.436520e-17,6.195065e-18,9.572417e-39,-2.710833e-16,-1.355813e-16,-2.110859e-16,-6.006777e-31,-1.964157e-20,-1.290807e-16,-6.402317e-18,-5.831477e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.180438e-16,1.948195e-17,-1.348828e-16,2.368994e-29,7.519728e-21,-7.471550e-17,-2.072519e-19,-5.831476e-31
43.0645,71.66,299.8686,3.643061e+03,5.334237e-01,Si,1.091693e-03,1.552819e+00,0.1091%,9.615423e-02,9.642184e-02,2.495714e-04,3.440650e-14,5.815924e-08,1.663486e-04,1.489661e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.425686e-16,8.013338e-24,7.400521e-17,2.333249e-29,2.562173e-20,5.279298e-17,6.034473e-18,1.015628e-37,-3.068458e-16,-1.534688e-16,-2.432214e-16,-5.849988e-31,-1.694490e-20,-1.473834e-16,-5.976925e-18,-5.652880e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.642773e-16,1.594459e-18,-1.692162e-16,2.274749e-29,8.676832e-21,-9.459047e-17,5.754892e-20,-5.652878e-31
