t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,275.0000,6.932245e+03,2.465802e+02,P_CO2,4.054952e-04,1.857227e+00,0.0405%,4.802769e-03,9.898000e-03,5.519382e-05,3.694434e-15,2.681649e-06,1.295870e-03,2.115035e-04,3.674082e-22,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.691118e-17,6.420148e-26,2.873958e-17,9.519098e-29,4.694410e-20,2.118916e-17,3.660024e-18,4.928208e-40,-1.560364e-21,2.599252e-24,-2.872570e-17,-1.018916e-35,-1.561892e-21,-1.842013e-26,-2.627404e-27,-1.378139e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.690962e-17,1.550633e-16,1.387714e-20,9.519097e-29,4.538221e-20,2.118916e-17,3.660024e-18,-1.378090e-35
4.4200,24.00,275.0000,1.499366e+04,1.162886e+00,P_CO2,4.150064e-04,1.857227e+00,0.0415%,1.070507e-02,2.165800e-02,5.898840e-05,1.347886e-14,5.582982e-06,2.935340e-03,4.920171e-04,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.856653e-17,7.806489e-29,2.973061e-17,1.596645e-28,3.485611e-20,2.194775e-17,3.702798e-18,4.594092e-41,-2.576090e-21,-9.993479e-25,-2.972266e-17,-2.348642e-35,-2.575593e-21,-1.353406e-25,-2.270851e-26,-2.320859e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.856396e-17,1.550633e-16,7.951801e-21,1.596645e-28,3.228052e-20,2.194775e-17,3.702798e-18,-2.320854e-35
7.3000,28.80,277.6895,2.717841e+04,1.000000e+00,C,4.237523e-04,1.857227e+00,0.0424%,1.791921e-02,3.577000e-02,6.366567e-05,3.126014e-14,8.355709e-06,4.959400e-03,8.286013e-04,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.012746e-17,1.281412e-24,3.056433e-17,2.399289e-28,4.099418e-20,2.257065e-17,3.795612e-18,1.173164e-38,-3.030029e-21,7.676368e-23,-3.055297e-17,9.055047e-34,-3.035081e-21,1.020453e-25,1.066433e-25,-2.284484e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.012443e-17,1.550634e-16,1.135871e-20,2.399298e-28,3.795910e-20,2.257065e-17,3.795612e-18,-2.283311e-35
10.7560,34.56,300.2180,7.594084e+04,1.794160e+00,P_CO2,1.365679e-03,1.593502e+00,0.1365%,2.469843e-02,4.905448e-02,1.907542e-04,6.230215e-14,9.995122e-06,6.685279e-03,2.128774e-04,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.561719e-16,1.744980e-28,9.721441e-17,2.433093e-28,-4.430042e-20,6.792575e-17,1.739135e-17,-3.758802e-41,-4.431290e-16,-2.216977e-16,-7.945584e-17,-2.114529e-30,-2.519442e-20,-1.982252e-16,-2.330521e-17,-1.987411e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.869571e-16,-6.663440e-17,1.775857e-17,2.411948e-28,-6.949484e-20,-1.302995e-16,-5.913868e-18,-1.987411e-30
14.2120,34.56,295.3069,6.531093e+04,4.592944e-01,Fe,1.012668e-03,1.782494e+00,0.1012%,3.056584e-02,5.450313e-02,1.448526e-04,9.031780e-14,8.769130e-06,4.700199e-03,1.590429e-04,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.899366e-16,8.351106e-26,7.262836e-17,2.806157e-28,5.080065e-20,5.190556e-17,1.373637e-17,5.805262e-40,-1.817963e-16,-9.095256e-17,-7.060989e-17,-8.918401e-31,-1.882293e-20,-7.604495e-17,-1.482683e-17,-8.151691e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.140392e-18,6.411073e-17,2.018473e-18,2.797238e-28,3.197772e-20,-2.413939e-17,-1.090457e-18,-8.151691e-31
18.3592,41.47,298.8396,7.295736e+04,2.437260e-01,C,1.339631e-03,1.754873e+00,0.1339%,3.773993e-02,6.189329e-02,2.033720e-04,1.246149e-13,5.918764e-06,3.038623e-03,1.120084e-04,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.494395e-16,1.173886e-23,9.554459e-17,2.662801e-28,1.282705e-19,6.748878e-17,1.795316e-17,7.847962e-38,-1.884628e-16,-9.428953e-17,-9.554448e-17,-9.554158e-31,-1.455852e-19,-7.587423e-17,-1.819957e-17,-8.440382e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.097671e-17,6.077377e-17,1.095490e-22,2.653246e-28,-1.731468e-20,-8.385448e-18,-2.464114e-19,-8.440381e-31
23.3358,49.77,298.6392,7.252361e+04,2.678741e-01,C,1.322304e-03,1.762950e+00,0.1321%,4.781476e-02,7.193120e-02,2.247356e-04,1.672838e-13,4.014298e-06,2.101342e-03,8.819218e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.446921e-16,-4.592052e-29,9.432935e-17,2.777948e-28,2.032722e-19,6.677126e-17,1.792130e-17,-4.176447e-41,-1.789544e-16,-8.954032e-17,-9.433584e-17,-9.445946e-31,-2.120465e-19,-7.119159e-17,-1.805253e-17,-8.000513e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.573778e-17,6.552298e-17,-6.481392e-21,2.768502e-28,-8.774315e-21,-4.420333e-18,-1.312260e-19,-8.000513e-31
28.3125,49.77,298.6253,7.249356e+04,2.770276e-01,C,1.321521e-03,1.765599e+00,0.1321%,5.831439e-02,8.239780e-02,2.245909e-04,2.116954e-13,2.971399e-06,1.569185e-03,7.238763e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.429263e-16,1.386800e-27,9.426795e-17,2.888328e-28,2.416453e-19,6.678209e-17,1.801158e-17,2.088224e-41,-1.754387e-16,-8.778704e-17,-9.427038e-17,-9.653252e-31,-2.466290e-19,-6.935701e-17,-1.808832e-17,-7.827148e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.748760e-17,6.727625e-17,-2.430052e-21,2.878675e-28,-4.983695e-21,-2.574918e-18,-7.673510e-20,-7.827148e-31
33.2891,49.77,298.6931,7.264016e+04,2.794946e-01,C,1.327992e-03,1.765908e+00,0.1327%,6.897479e-02,9.302564e-02,2.255679e-04,2.578493e-13,2.351346e-06,1.245052e-03,6.280953e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.424466e-16,8.141709e-26,9.471139e-17,3.000785e-28,2.621703e-19,6.711121e-17,1.813618e-17,2.004695e-40,-1.744917e-16,-8.731881e-17,-9.469320e-17,-1.001920e-30,-2.652528e-19,-6.876373e-17,-1.818334e-17,-7.767024e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.795491e-17,6.774448e-17,1.819631e-20,2.990766e-28,-3.082511e-21,-1.652513e-18,-4.715852e-20,-7.767024e-31
38.2658,49.77,298.7962,7.286342e+04,2.791026e-01,C,1.337627e-03,1.765190e+00,0.1337%,7.966181e-02,1.036793e-01,2.270337e-04,3.058031e-13,1.950548e-06,1.031882e-03,5.656583e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.425121e-16,1.773965e-24,9.537473e-17,3.118298e-28,2.735202e-19,6.757741e-17,1.827012e-17,3.863214e-39,-1.746294e-16,-8.739309e-17,-9.536316e-17,-1.047473e-30,-2.756175e-19,-6.869688e-17,-1.830272e-17,-7.753979e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.788278e-17,6.767021e-17,1.156940e-20,3.107824e-28,-2.097327e-21,-1.119468e-18,-3.260803e-20,-7.753979e-31
