t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,275.0000,6.932245e+03,2.465802e+02,P_CO2,4.054952e-04,1.857227e+00,0.0405%,4.802769e-03,9.898000e-03,5.519382e-05,3.694434e-15,2.681649e-06,1.295870e-03,2.115035e-04,3.674082e-22,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.691118e-17,6.420148e-26,2.873958e-17,9.519098e-29,4.694410e-20,2.118916e-17,3.660024e-18,4.928208e-40,-1.560364e-21,2.599252e-24,-2.872570e-17,-1.018916e-35,-1.561892e-21,-1.842013e-26,-2.627404e-27,-1.378139e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.690962e-17,1.550633e-16,1.387714e-20,9.519097e-29,4.538221e-20,2.118916e-17,3.660024e-18,-1.378090e-35
4.4200,24.00,287.3275,2.282164e+04,2.292099e+00,P_CO2,5.143780e-04,1.857227e+00,0.0514%,1.093108e-02,2.165800e-02,7.035709e-05,1.532251e-14,6.722789e-06,3.002410e-03,5.234891e-04,8.865496e-23,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.748175e-17,3.673642e-29,3.695597e-17,1.893612e-28,3.415205e-20,2.715301e-17,4.981584e-18,0.000000e+00,-4.633442e-21,2.231909e-24,-3.633786e-17,7.661846e-34,-4.636675e-21,1.032746e-23,1.274077e-24,3.421646e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.747712e-17,1.550633e-16,6.181119e-19,1.893619e-28,2.951537e-20,2.715302e-17,4.981586e-18,3.421646e-35
7.3000,28.80,294.9695,3.643051e+04,5.963145e-01,P_CO2,9.931180e-04,1.850634e+00,0.0993%,2.014831e-02,3.361407e-02,1.302836e-04,3.235140e-14,6.764258e-06,5.626397e-03,1.842935e-04,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.863467e-16,4.409386e-23,7.096386e-17,1.836994e-28,1.401588e-20,5.067693e-17,1.184080e-17,4.284951e-37,-9.251862e-17,-4.626698e-17,-7.116522e-17,-4.282731e-31,-2.360736e-20,-3.141411e-17,-1.482988e-17,-4.147111e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.382810e-17,1.087964e-16,-2.013648e-19,1.832711e-28,-9.591479e-21,1.926282e-17,-2.989082e-18,-4.147106e-31
10.7560,34.56,299.6168,4.470634e+04,2.271675e-01,P_CO2,1.379865e-03,1.743093e+00,0.1379%,2.504552e-02,3.954778e-02,1.897368e-04,5.129049e-14,5.473244e-06,3.578011e-03,1.219902e-04,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.569858e-16,2.020503e-28,9.796389e-17,1.739431e-28,4.212031e-20,6.898500e-17,1.621028e-17,-5.011737e-41,-2.016203e-16,-1.008352e-16,-9.802928e-17,-9.500388e-31,-4.737939e-20,-8.412197e-17,-1.664867e-17,-9.027300e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.536545e-17,5.422807e-17,-6.538717e-20,1.729930e-28,-5.259086e-21,-1.513697e-17,-4.383887e-19,-9.027300e-31
14.9032,41.47,299.0646,4.372303e+04,2.625783e-01,C,1.330447e-03,1.761241e+00,0.1330%,3.307635e-02,4.746353e-02,2.028997e-04,7.430957e-14,4.328286e-06,2.204395e-03,8.464115e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.461665e-16,5.576772e-25,9.452243e-17,1.787733e-28,8.710899e-20,6.687458e-17,1.612118e-17,5.462793e-39,-1.810909e-16,-9.056629e-17,-9.455309e-17,-8.714690e-31,-1.024001e-19,-7.411368e-17,-1.633553e-17,-8.093038e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.507563e-17,6.449700e-17,-3.066541e-20,1.779018e-28,-1.529110e-20,-7.239105e-18,-2.143474e-19,-8.093038e-31
19.0504,41.47,298.9042,4.343738e+04,2.836273e-01,C,1.316617e-03,1.768095e+00,0.1316%,4.188842e-02,5.622676e-02,2.009763e-04,9.787801e-14,2.899988e-06,1.515972e-03,6.423704e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.417768e-16,6.338175e-23,9.355188e-17,1.824485e-28,1.429159e-19,6.631400e-17,1.616628e-17,5.233297e-37,-1.730341e-16,-8.653848e-17,-9.355697e-17,-8.502537e-31,-1.506482e-19,-7.009027e-17,-1.627929e-17,-7.712973e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.874264e-17,6.852487e-17,-5.090716e-21,1.815983e-28,-7.732294e-21,-3.776270e-18,-1.130019e-19,-7.712968e-31
23.1976,41.47,298.9259,4.347603e+04,2.907481e-01,C,1.319059e-03,1.769936e+00,0.1318%,5.099256e-02,6.531303e-02,2.012856e-04,1.218933e-13,2.138400e-06,1.137809e-03,5.302476e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.403005e-16,-1.836821e-29,9.371167e-17,1.856567e-28,1.705807e-19,6.647097e-17,1.627260e-17,-2.505868e-41,-1.703662e-16,-8.520557e-17,-9.370496e-17,-8.546429e-31,-1.749628e-19,-6.867134e-17,-1.633779e-17,-7.570879e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.993434e-17,6.985772e-17,6.707659e-21,1.848021e-28,-4.382150e-21,-2.200366e-18,-6.518947e-20,-7.570879e-31
27.3448,41.47,299.0239,4.365048e+04,2.919318e-01,C,1.328347e-03,1.769689e+00,0.1327%,6.017605e-02,7.449035e-02,2.025335e-04,1.463149e-13,1.684592e-06,9.077377e-04,4.624567e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.400275e-16,2.479708e-27,9.434691e-17,1.887274e-28,1.853669e-19,6.692879e-17,1.640056e-17,3.758802e-41,-1.699236e-16,-8.498543e-17,-9.433527e-17,-8.700758e-31,-1.881182e-19,-6.833107e-17,-1.644191e-17,-7.525643e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.010390e-17,7.007786e-17,1.163961e-20,1.878573e-28,-2.751230e-21,-1.402283e-18,-4.134865e-20,-7.525643e-31
31.4920,41.47,299.1558,4.388542e+04,2.904584e-01,C,1.340750e-03,1.768510e+00,0.1340%,6.934777e-02,8.365984e-02,2.042065e-04,1.711324e-13,1.390232e-06,7.563265e-04,4.182827e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.402838e-16,7.390449e-26,9.519803e-17,1.917583e-28,1.935133e-19,6.752194e-17,1.653318e-17,2.380575e-40,-1.704692e-16,-8.525951e-17,-9.518514e-17,-8.916792e-31,-1.953658e-19,-6.847590e-17,-1.656111e-17,-7.522357e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.981462e-17,6.980378e-17,1.289060e-20,1.908666e-28,-1.852520e-21,-9.539588e-19,-2.793794e-20,-7.522357e-31
36.4686,49.77,299.3312,4.419780e+04,2.872911e-01,C,1.357345e-03,1.766606e+00,0.1356%,8.032133e-02,9.463004e-02,2.307124e-04,2.014473e-13,1.201997e-06,6.513979e-04,4.244752e-05,0.000000e+00,0.000000e+00,1.550633e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.408611e-16,1.609193e-24,9.633335e-17,1.954726e-28,1.965835e-19,6.830354e-17,1.664346e-17,4.276682e-39,-1.716351e-16,-8.585081e-17,-9.631679e-17,-9.205243e-31,-1.978276e-19,-6.894710e-17,-1.666194e-17,-7.538054e-31,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.922608e-17,6.921248e-17,1.656483e-20,1.945521e-28,-1.244102e-21,-6.435574e-19,-1.847837e-20,-7.538054e-31
