t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,288.0472,1.007031e+05,3.595540e+03,P_CO2,6.227537e-05,1.985075e+00,0.0062%,6.608540e-03,9.898001e-02,7.449319e-05,1.391848e-13,1.730141e-05,1.840371e-03,4.740809e-04,2.397372e-23,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.189798e-16,9.467113e-22,4.528458e-17,5.340570e-29,-1.624615e-22,3.329406e-17,8.730456e-18,2.303728e-36,-3.494922e-23,-5.553628e-26,-4.528468e-17,-3.272699e-37,-3.492019e-23,-1.027658e-27,-2.649247e-28,-2.823722e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.189797e-16,1.550634e-15,-9.182568e-23,5.340570e-29,-1.973817e-22,3.329406e-17,8.730456e-18,2.021356e-36
4.4200,24.00,288.0472,1.007031e+05,1.000000e+00,Fe,6.226350e-05,1.985075e+00,0.0062%,1.561748e-02,2.165800e-01,7.915588e-05,1.421649e-13,1.726522e-05,4.362985e-03,1.090951e-03,4.439873e-23,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.186013e-16,6.447241e-26,4.527469e-17,3.875664e-29,-4.728515e-22,3.323108e-17,7.574319e-18,8.352894e-41,-2.699864e-23,-7.906731e-26,-4.527480e-17,1.456143e-36,-2.697785e-23,-1.409094e-27,-3.590329e-28,-2.044751e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.186013e-16,1.550633e-15,-1.085308e-22,3.875665e-29,-4.998294e-22,3.323108e-17,7.574319e-18,-2.043915e-37
7.3000,28.80,288.0472,1.007031e+05,1.000000e+00,Fe,6.224892e-05,1.985075e+00,0.0062%,2.639040e-02,3.577000e-01,8.503625e-05,1.457025e-13,1.721893e-05,7.383811e-03,1.724298e-03,5.820750e-22,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.181493e-16,4.224688e-27,4.526254e-17,3.904467e-29,-5.012571e-22,3.315551e-17,6.387831e-18,6.264671e-40,-1.601148e-23,-7.346176e-26,-4.526267e-17,-1.196980e-37,-1.598954e-23,-1.506765e-27,-3.524031e-28,-1.005338e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.181493e-16,1.550633e-15,-1.284948e-22,3.904467e-29,-5.172466e-22,3.315551e-17,6.387831e-18,-9.990732e-38
10.1800,28.80,288.0472,1.007031e+05,1.000000e+00,C,6.223403e-05,1.985075e+00,0.0062%,3.712222e-02,4.988200e-01,8.502445e-05,1.492668e-13,1.717120e-05,1.039775e-02,2.258312e-03,5.767282e-22,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.176991e-16,9.531631e-24,4.525030e-17,3.927278e-29,-5.210923e-22,3.307984e-17,5.386267e-18,2.681279e-38,-9.569193e-24,3.787886e-24,-4.525043e-17,-5.518886e-38,-9.879738e-24,1.463046e-26,3.663912e-27,1.099588e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.176991e-16,1.550633e-15,-1.307988e-22,3.927278e-29,-5.309721e-22,3.307984e-17,5.386267e-18,3.780867e-38
13.0600,28.80,288.0472,1.007031e+05,1.000000e+00,Alkalinity,6.221890e-05,1.985075e+00,0.0062%,4.781318e-02,6.399401e-01,8.501246e-05,8.854707e-14,1.712236e-05,1.340480e-02,2.708617e-03,7.773517e-22,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.172514e-16,1.029944e-21,4.523787e-17,5.072700e-27,-5.366655e-22,3.300424e-17,4.542152e-18,3.000568e-36,3.417974e-23,5.527285e-22,-4.523801e-17,-7.621718e-37,-4.966802e-24,2.271505e-24,5.258403e-25,5.985740e-36,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.172515e-16,1.550634e-15,-1.325832e-22,5.072700e-27,-5.416323e-22,3.300424e-17,4.542153e-18,8.986308e-36
15.9400,28.80,288.0472,1.007031e+05,1.000000e+00,Fe,6.220360e-05,1.985075e+00,0.0062%,5.846353e-02,7.810601e-01,8.500033e-05,1.564462e-13,1.707269e-05,1.640498e-02,3.088366e-03,1.404374e-21,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.168064e-16,-9.184104e-28,4.522530e-17,3.958452e-29,-5.488375e-22,3.292873e-17,3.830596e-18,7.517605e-40,-7.631661e-25,7.921895e-26,-4.522543e-17,6.210056e-38,-7.958035e-25,1.680380e-27,3.179949e-28,5.058106e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.168064e-16,1.550633e-15,-1.339453e-22,3.958452e-29,-5.496333e-22,3.292873e-17,3.830596e-18,5.133282e-38
18.8200,28.80,288.0472,1.007031e+05,1.000000e+00,Alkalinity,6.218816e-05,1.985075e+00,0.0062%,6.907350e-02,9.221801e-01,8.498809e-05,1.600535e-13,1.702237e-05,1.939829e-02,3.408634e-03,1.411548e-21,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.163641e-16,1.359247e-26,4.521261e-17,3.968305e-29,-5.556893e-22,3.285332e-17,3.230681e-18,-1.670579e-40,1.597621e-26,1.297671e-25,-4.521274e-17,7.759952e-38,2.203222e-30,2.475592e-27,4.169466e-28,6.503280e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.163641e-16,1.550633e-15,-1.349574e-22,3.968305e-29,-5.556893e-22,3.285332e-17,3.230681e-18,6.486574e-38
21.7000,28.80,288.0472,1.007031e+05,1.000000e+00,Alkalinity,6.217263e-05,1.985075e+00,0.0062%,7.964335e-02,1.063300e+00,8.497577e-05,1.636683e-13,1.697160e-05,2.238475e-02,3.678749e-03,1.421182e-21,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.159247e-16,2.975650e-25,4.519984e-17,3.975132e-29,-5.597462e-22,3.277805e-17,2.724816e-18,1.587050e-39,8.203997e-28,3.693814e-25,-4.519998e-17,-3.454802e-37,2.660030e-30,-1.343944e-26,5.770685e-28,7.079254e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.159247e-16,1.550633e-15,-1.356775e-22,3.975132e-29,-5.597462e-22,3.277805e-17,2.724816e-18,7.237959e-38
24.5800,28.80,288.0472,1.007031e+05,1.000000e+00,Alkalinity,6.215703e-05,1.985075e+00,0.0062%,9.017333e-02,1.204420e+00,8.496340e-05,1.672881e-13,1.692053e-05,2.536436e-02,3.906571e-03,1.428858e-21,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.154880e-16,4.104376e-24,4.518701e-17,3.979419e-29,-5.623043e-22,3.270292e-17,2.298202e-18,1.587050e-39,8.337665e-24,1.665560e-21,-4.518715e-17,1.047043e-33,5.310257e-28,2.901833e-24,5.345970e-25,4.885314e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.154880e-16,1.550635e-15,-1.361534e-22,3.979524e-29,-5.623038e-22,3.270293e-17,2.298202e-18,4.901184e-37
27.4600,28.80,288.0472,1.007031e+05,1.000000e+00,Alkalinity,6.214140e-05,1.985075e+00,0.0062%,1.006637e-01,1.345540e+00,8.495099e-05,1.709109e-13,1.686928e-05,2.833714e-02,4.098725e-03,1.452791e-21,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.150542e-16,-5.510463e-28,4.517415e-17,3.981405e-29,-5.636153e-22,3.262796e-17,1.938381e-18,-5.847026e-40,5.483725e-27,7.653495e-23,-4.517429e-17,9.359068e-36,3.524452e-30,7.030970e-27,1.116355e-27,8.367344e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.150542e-16,1.550633e-15,-1.364253e-22,3.981406e-29,-5.636153e-22,3.262796e-17,1.938381e-18,8.308873e-38
