t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,329.0266,6.827441e+04,2.437372e+03,P_CO2,1.315584e-03,1.805040e+00,0.1315%,5.480162e-02,6.647691e-02,9.197175e-04,4.512808e-14,5.231092e-07,8.017823e-04,8.097177e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.205359e-15,5.969668e-28,8.806902e-16,6.505664e-28,6.662643e-19,5.458155e-16,9.827969e-17,5.429381e-40,-1.308406e-15,-6.543095e-16,-8.788183e-16,-5.950439e-30,-6.697634e-19,-5.550203e-16,-9.854927e-17,-5.690285e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.969532e-16,8.963234e-16,1.871925e-18,6.446159e-28,-3.499139e-21,-9.204808e-18,-2.695803e-19,-5.690285e-30
4.4200,24.00,321.5970,5.703592e+04,5.794327e-01,Si,7.013628e-04,1.676316e+00,0.0701%,1.197138e-01,1.316072e-01,7.086197e-04,9.219457e-14,6.434243e-07,4.678208e-04,7.073296e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.068846e-15,0.000000e+00,4.771670e-16,7.425528e-28,8.101472e-19,3.087315e-16,8.029800e-17,-6.264671e-40,-1.962668e-15,-9.823266e-16,-1.791992e-15,-8.779460e-30,-2.894574e-19,-9.012372e-16,-7.900335e-17,-8.011919e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.938218e-16,5.683063e-16,-1.314825e-15,7.337733e-28,5.206897e-19,-5.925056e-16,1.294655e-18,-8.011919e-30
7.3000,28.80,313.7268,4.513100e+04,1.000000e+00,Fe,3.451610e-04,1.506359e+00,0.0345%,1.846103e-01,1.963561e-01,5.348280e-04,1.477900e-13,8.829029e-07,3.420216e-04,5.206989e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.928890e-16,3.317620e-24,2.374602e-16,8.663804e-28,9.701376e-19,1.600608e-16,5.173271e-17,1.795872e-39,-3.081524e-15,-1.543168e-15,-3.042755e-15,-1.354250e-29,-1.162290e-29,-1.498696e-15,-3.991640e-17,-1.169752e-29,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.588635e-15,7.464536e-18,-2.805295e-15,8.528379e-28,9.701376e-19,-1.338635e-15,1.181631e-17,-1.169752e-29
10.1800,28.80,330.2819,7.017321e+04,9.353777e-01,Mg,1.121433e-03,1.488565e+00,0.1121%,2.272164e-01,2.393550e-01,1.132459e-03,1.944008e-13,4.416074e-07,3.861154e-04,8.720254e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.460329e-16,-2.172852e-16,7.384397e-16,5.437283e-28,4.815786e-19,2.477354e-16,9.399067e-17,-1.917936e-30,-3.254787e-15,-1.630166e-15,-3.147292e-15,-1.360044e-29,-5.921749e-20,-1.621689e-15,-3.138350e-18,-1.121642e-29,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.408754e-15,-2.968184e-16,-2.408853e-15,5.301279e-28,4.223611e-19,-1.373954e-15,9.085232e-17,-1.313436e-29
13.6360,34.56,342.7875,8.908994e+04,1.000000e+00,Mg,2.615052e-03,1.529453e+00,0.2612%,2.578368e-01,2.694873e-01,2.306827e-03,2.326225e-13,2.508560e-07,5.869074e-04,8.489824e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.212914e-15,-5.327428e-16,1.623630e-15,3.473191e-28,2.264628e-19,4.422181e-16,7.773881e-17,-4.643969e-30,-2.937096e-15,-1.471062e-15,-2.846605e-15,-1.150895e-29,-9.647238e-20,-1.466156e-15,-9.142267e-30,-9.142266e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.724181e-15,-4.531715e-16,-1.222974e-15,3.358102e-28,1.299905e-19,-1.023938e-15,7.773881e-17,-1.378623e-29
17.0920,34.56,349.0222,9.852091e+04,2.343685e-01,Mg,3.992192e-03,1.588785e+00,0.3984%,2.710617e-01,2.816634e-01,3.196513e-03,2.632699e-13,1.542759e-07,1.123493e-03,4.687474e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.035681e-15,-4.576160e-16,2.369832e-15,2.783960e-28,1.370628e-19,9.515955e-16,4.141501e-17,-3.945314e-30,-2.325265e-15,-1.164582e-15,-2.569702e-15,-8.930805e-30,-1.250949e-19,-1.135032e-15,-2.568814e-17,-6.885872e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.895849e-16,-7.156460e-17,-1.998699e-16,2.694652e-28,1.196786e-20,-1.834365e-16,1.572686e-17,-1.083119e-29
21.2392,41.47,350.0000,1.009869e+05,1.000000e+00,Mg,4.312287e-03,1.616033e+00,0.4303%,2.745453e-01,2.849438e-01,3.890988e-03,2.982057e-13,1.613119e-07,1.400090e-03,7.987919e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.149700e-15,-4.739550e-16,2.523652e-15,2.777242e-28,1.210591e-19,1.019540e-15,6.085832e-17,-4.074803e-30,-1.987530e-15,-9.954282e-16,-2.502210e-15,-7.825104e-30,-1.194517e-19,-9.921206e-16,-1.440391e-24,-5.834112e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.621705e-16,8.124969e-17,2.144178e-17,2.698991e-28,1.607470e-21,2.741951e-17,6.085831e-17,-9.908915e-30
23.3128,20.74,350.0000,1.009869e+05,8.101675e-03,C,4.228305e-03,1.585408e+00,0.4219%,2.742990e-01,2.861700e-01,2.417057e-03,3.161797e-13,1.069597e-07,9.294617e-04,3.006248e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.451550e-15,-3.023627e-16,2.517018e-15,2.863239e-28,1.425148e-19,1.180007e-15,3.910929e-17,-2.602342e-30,-2.442394e-15,-1.223347e-15,-2.517031e-15,-1.017068e-29,-1.425180e-19,-1.179987e-15,-3.910929e-17,-7.452478e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.155852e-18,2.492353e-17,-1.253533e-20,2.761532e-28,-3.276538e-24,2.052795e-20,6.689036e-24,-1.005482e-29
25.8011,24.88,350.0000,1.009869e+05,7.477135e-03,C,4.241211e-03,1.590583e+00,0.4232%,2.750517e-01,2.880529e-01,2.688094e-03,3.380161e-13,1.180726e-07,1.026831e-03,3.254254e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.366860e-15,-3.445172e-16,2.516612e-15,2.902485e-28,1.375168e-19,1.141853e-15,3.701428e-17,-2.964469e-30,-2.361869e-15,-1.183099e-15,-2.516622e-15,-1.033701e-29,-1.375188e-19,-1.141827e-15,-3.701406e-17,-7.419037e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.990218e-18,2.301649e-17,-9.861147e-21,2.799115e-28,-1.967524e-24,2.599946e-20,2.215357e-22,-1.038351e-29
28.7871,29.86,350.0000,1.009869e+05,6.678935e-03,C,4.256991e-03,1.596673e+00,0.4248%,2.756255e-01,2.900838e-01,3.029565e-03,3.646175e-13,1.311519e-07,1.141462e-03,3.532952e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.270313e-15,-3.939104e-16,2.515862e-15,2.952873e-28,1.318236e-19,1.097246e-15,3.467715e-17,-3.388783e-30,-2.267945e-15,-1.136147e-15,-2.515869e-15,-1.051084e-29,-1.318246e-19,-1.097219e-15,-3.467683e-17,-7.357154e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.367981e-18,2.057573e-17,-6.800299e-21,2.847764e-28,-9.906932e-25,2.714694e-20,3.236566e-22,-1.074594e-29
