t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,279.7259,1.895192e+00,9.999969e-01,Mg,2.778814e-03,1.035826e+00,0.2775%,8.689128e-04,8.035796e-04,4.482991e-05,3.086868e-18,5.033375e-11,2.073240e-04,2.628123e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.332167e-17,2.123824e-30,9.327479e-18,7.999805e-32,6.852702e-23,6.925293e-18,5.285594e-20,-8.352894e-43,-1.525859e-17,-7.629272e-18,-9.332835e-18,-1.572165e-32,-6.820348e-23,-7.629253e-18,-8.158626e-26,-1.572161e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.063085e-18,7.877058e-18,-5.356395e-21,6.427640e-32,3.235471e-25,-7.039597e-19,5.285586e-20,-1.572161e-32
4.4200,24.00,281.9013,3.027495e+00,5.974608e-01,P_CO2,2.699825e-03,1.035826e+00,0.2696%,1.448285e-03,1.337753e-03,4.690345e-05,8.844383e-18,6.670160e-11,1.173531e-04,3.806392e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.486838e-17,6.457573e-32,9.940493e-18,9.462435e-32,7.962163e-23,7.375282e-18,5.779544e-20,4.176447e-42,-1.690537e-17,-8.452664e-18,-9.918220e-18,-1.557173e-32,-7.962897e-23,-8.360228e-18,-9.239862e-20,-1.557167e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.963006e-18,7.053665e-18,2.227314e-20,7.905262e-32,-7.348172e-27,-9.849454e-19,-3.460318e-20,-1.557167e-32
7.3000,28.80,282.4646,3.320714e+00,3.284331e-01,C,2.700589e-03,1.035826e+00,0.2697%,2.226052e-03,2.016672e-03,5.003961e-05,1.594880e-17,7.610439e-11,6.761700e-05,2.032435e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.450834e-17,1.294152e-26,1.003539e-17,9.248580e-32,7.861746e-23,7.470974e-18,6.492101e-20,2.180523e-39,-1.567794e-17,-7.838963e-18,-1.001833e-17,-1.660347e-32,-7.863206e-23,-7.763684e-18,-7.521438e-20,-1.660320e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.830393e-18,7.667366e-18,1.705717e-20,7.588233e-32,-1.460295e-26,-2.927095e-19,-1.029337e-20,-1.660320e-32
10.7560,34.56,283.9774,4.108138e+00,3.300403e-01,C,2.676992e-03,1.035826e+00,0.2673%,3.200711e-03,2.859732e-03,5.320676e-05,2.441911e-17,9.315279e-11,4.961298e-05,1.367085e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.454138e-17,9.935622e-28,1.027615e-17,9.607487e-32,8.233062e-23,7.627848e-18,7.158547e-20,1.904460e-40,-1.562150e-17,-7.810753e-18,-1.026451e-17,-1.816243e-32,-8.227766e-23,-7.735289e-18,-7.536170e-20,-1.816198e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.919881e-18,7.695576e-18,1.164020e-20,7.791244e-32,5.295852e-26,-1.074412e-19,-3.776237e-21,-1.816198e-32
14.2120,34.56,285.7463,5.028857e+00,3.089639e-01,C,2.809470e-03,1.035826e+00,0.2806%,4.168302e-03,3.687193e-03,5.679638e-05,3.356565e-17,9.538397e-11,4.125912e-05,1.048831e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.507833e-17,3.587541e-32,1.080502e-17,9.745528e-32,8.425715e-23,8.052812e-18,7.477337e-20,-7.517605e-42,-1.637234e-17,-8.186195e-18,-1.075166e-17,-2.018647e-32,-8.426500e-23,-8.108899e-18,-7.714810e-20,-2.019188e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.705990e-18,7.320135e-18,5.336631e-20,7.726881e-32,-7.850048e-27,-5.608766e-20,-2.374726e-21,-2.019188e-32
18.3592,41.47,287.2542,5.813745e+00,2.738307e-01,C,3.140564e-03,1.035826e+00,0.3136%,5.272503e-03,4.604772e-03,6.578578e-05,4.367865e-17,1.080005e-10,3.783707e-05,8.354549e-07,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.576529e-17,6.939021e-29,1.157186e-17,9.210260e-32,8.076382e-23,8.738729e-18,7.288236e-20,1.587050e-41,-1.767920e-17,-8.839651e-18,-1.152063e-17,-2.326558e-32,-8.081372e-23,-8.765266e-18,-7.417167e-20,-2.345807e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.086089e-18,6.666678e-18,5.123248e-20,6.883702e-32,-4.989691e-26,-2.653631e-20,-1.289310e-21,-2.345807e-32
23.3358,49.77,288.9573,6.700225e+00,2.354401e-01,C,3.562452e-03,1.035826e+00,0.3556%,6.485661e-03,5.595401e-03,7.706321e-05,5.426831e-17,1.219388e-10,3.744285e-05,7.014495e-07,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.648031e-17,3.659292e-31,1.240829e-17,8.611879e-32,7.661251e-23,9.515069e-18,6.984859e-20,0.000000e+00,-1.919220e-17,-9.596189e-18,-1.235472e-17,-2.713359e-32,-7.663491e-23,-9.525307e-18,-7.058080e-20,-2.713212e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.288115e-18,5.910140e-18,5.357765e-20,5.898520e-32,-2.240217e-26,-1.023819e-20,-7.322108e-22,-2.713212e-32
29.3078,59.72,290.9069,7.715028e+00,1.943771e-01,C,4.113674e-03,1.035826e+00,0.4105%,7.774838e-03,6.630836e-03,9.136088e-05,6.453802e-17,1.371962e-10,3.950667e-05,6.144123e-07,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.724189e-17,5.668314e-31,1.330616e-17,7.970789e-32,7.207765e-23,1.039070e-17,6.582986e-20,5.011737e-42,-2.091817e-17,-1.045922e-17,-1.325121e-17,-3.119704e-32,-7.211386e-23,-1.039253e-17,-6.628184e-20,-3.119381e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.323712e-18,5.047108e-18,5.494164e-20,4.851085e-32,-3.620727e-26,-1.830861e-21,-4.519718e-22,-3.119381e-32
36.4742,71.66,293.1258,8.869975e+00,1.524404e-01,C,4.839986e-03,1.035826e+00,0.4828%,9.087211e-03,7.667770e-03,1.094298e-04,7.439740e-17,1.541888e-10,4.386030e-05,5.564816e-07,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.802940e-17,7.820839e-31,1.422232e-17,7.314477e-32,6.753503e-23,1.134532e-17,6.103827e-20,4.176447e-43,-2.280781e-17,-1.140409e-17,-1.416537e-17,-3.554427e-32,-6.758229e-23,-1.134222e-17,-6.133169e-20,-3.554230e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.221586e-18,4.102236e-18,5.695812e-20,3.760050e-32,-4.725597e-26,3.103922e-21,-2.934201e-22,-3.554230e-32
45.0738,86.00,295.3081,1.006295e+01,1.344953e-01,P_CO2,5.672352e-03,1.035826e+00,0.5656%,1.034964e-02,8.650432e-03,1.301205e-04,8.336615e-17,1.745798e-10,5.021998e-05,5.210816e-07,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.865187e-17,9.112354e-31,1.499662e-17,6.727631e-32,6.365673e-23,1.221808e-17,5.635849e-20,6.682315e-42,-2.455374e-17,-1.227711e-17,-1.498921e-17,-3.975539e-32,-6.367142e-23,-1.221998e-17,-5.645452e-20,-3.975209e-32,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.098130e-18,3.229215e-18,7.413907e-21,2.752092e-32,-1.469508e-26,-1.893379e-21,-9.602148e-23,-3.975209e-32
