t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,329.8381,5.130699e+04,1.831392e+03,P_CO2,1.352994e-03,1.803845e+00,0.1352%,5.657462e-02,6.518617e-02,9.427504e-04,3.242284e-14,3.813816e-07,6.938528e-04,6.761908e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.190550e-15,8.724899e-28,9.013173e-16,5.032539e-28,5.090431e-19,5.598816e-16,8.379232e-17,-2.505868e-40,-1.299368e-15,-6.498353e-16,-8.989016e-16,-5.736330e-30,-5.107157e-19,-5.651712e-16,-8.395475e-17,-5.555102e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.911817e-16,9.007976e-16,2.415662e-18,4.975176e-28,-1.672645e-21,-5.289537e-18,-1.624253e-19,-5.555102e-30
4.4200,24.00,333.8620,6.102515e+04,3.368870e-01,C,1.722250e-03,1.765015e+00,0.1721%,1.201447e-01,1.293793e-01,1.268165e-03,6.763245e-14,3.113270e-07,6.859382e-04,6.618882e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.311599e-15,6.888078e-29,1.129760e-15,4.383760e-28,3.721346e-19,6.916385e-16,7.663841e-17,1.252934e-40,-1.536989e-15,-7.691337e-16,-1.126358e-15,-6.400381e-30,-3.733335e-19,-6.908650e-16,-7.673637e-17,-5.984120e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.746097e-16,7.814992e-16,3.402354e-18,4.319756e-28,-1.198945e-21,7.735145e-19,-9.796193e-20,-5.984120e-30
7.3000,28.80,338.8353,7.303611e+04,2.365023e-01,C,2.297926e-03,1.713577e+00,0.2295%,1.827672e-01,1.924774e-01,1.801692e-03,1.035879e-13,2.485075e-07,8.961564e-04,5.325404e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.416861e-15,-4.224080e-17,1.471709e-15,3.678115e-28,2.574765e-19,8.584635e-16,5.386962e-17,-3.736663e-31,-1.828123e-15,-9.152217e-16,-1.467040e-15,-7.087717e-30,-2.583040e-19,-8.588153e-16,-5.396428e-17,-6.393529e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.887377e-16,5.931704e-16,4.669061e-18,3.607238e-28,-8.274853e-22,-3.517932e-19,-9.466540e-20,-6.767195e-30
10.7560,34.56,343.9873,8.547880e+04,1.703635e-01,P_CO2,3.093266e-03,1.674081e+00,0.3088%,2.341810e-01,2.442054e-01,2.606420e-03,1.392673e-13,1.999089e-07,1.048346e-03,4.730813e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.199645e-15,-2.722831e-16,1.914413e-15,3.039062e-28,1.771476e-19,8.837069e-16,4.113334e-17,-2.378825e-30,-1.850508e-15,-9.266596e-16,-1.909196e-15,-6.762724e-30,-1.776405e-19,-8.825995e-16,-4.120180e-17,-5.888137e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.491376e-16,3.516903e-16,5.217804e-18,2.971435e-28,-4.928881e-22,1.107422e-18,-6.845801e-20,-8.266962e-30
14.9032,41.47,345.4657,8.904916e+04,1.000000e+00,Mg,3.090648e-03,1.538164e+00,0.3086%,2.615071e-01,2.726445e-01,2.978941e-03,1.758577e-13,2.228112e-07,6.567707e-04,9.023714e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.113351e-15,-6.783482e-16,1.871610e-15,2.794670e-28,1.682787e-19,4.417921e-16,6.885623e-17,-5.881856e-30,-2.877373e-15,-1.441073e-15,-2.778885e-15,-1.026143e-29,-1.027952e-19,-1.436395e-15,-8.617334e-30,-8.617334e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.764022e-15,-5.687887e-16,-9.072751e-16,2.692056e-28,6.548352e-20,-9.946033e-16,6.885623e-17,-1.449919e-29
16.9768,20.74,349.3642,9.846448e+04,1.057317e-01,P_CO2,4.090807e-03,1.593812e+00,0.4082%,2.676542e-01,2.781442e-01,2.356592e-03,1.924694e-13,1.105976e-07,9.104858e-04,3.067537e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.459934e-15,-2.867613e-16,2.447963e-15,2.603068e-28,1.473696e-19,1.157141e-15,3.996924e-17,-2.473389e-30,-2.397522e-15,-1.200741e-15,-2.446843e-15,-8.613990e-30,-1.474300e-19,-1.156815e-15,-3.998130e-17,-7.115312e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.241180e-17,6.313078e-17,1.120001e-18,2.516928e-28,-6.045842e-23,3.260630e-19,-1.206452e-20,-9.588701e-30
19.4651,24.88,349.9715,9.993124e+04,1.489637e-02,P_CO2,4.235249e-03,1.590853e+00,0.4226%,2.711516e-01,2.816437e-01,2.685443e-03,2.121330e-13,1.183471e-07,1.023048e-03,3.243270e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.389462e-15,-3.410372e-16,2.512775e-15,2.579243e-28,1.378402e-19,1.143293e-15,3.700119e-17,-2.936176e-30,-2.363796e-15,-1.183864e-15,-2.511951e-15,-8.598854e-30,-1.378511e-19,-1.142955e-15,-3.699931e-17,-6.967437e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.566598e-17,2.573126e-17,8.246569e-19,2.493254e-28,-1.088895e-23,3.371374e-19,1.874255e-21,-9.903612e-30
22.4511,29.86,350.0000,1.008114e+05,8.808024e-03,P_CO2,4.258825e-03,1.596171e+00,0.4250%,2.733645e-01,2.839032e-01,3.032305e-03,2.358919e-13,1.318979e-07,1.136784e-03,3.530884e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.294404e-15,-3.907082e-16,2.516950e-15,2.637468e-28,1.325835e-19,1.100873e-15,3.482104e-17,-3.362681e-30,-2.275064e-15,-1.139440e-15,-2.516852e-15,-8.471909e-30,-1.325415e-19,-1.100830e-15,-3.481757e-17,-6.707545e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.934046e-17,2.048426e-17,9.827270e-20,2.552749e-28,4.200349e-23,4.251897e-20,3.473209e-21,-1.007023e-29
26.0343,35.83,350.0000,1.009869e+05,5.782408e-03,C,4.276232e-03,1.603269e+00,0.4267%,2.751364e-01,2.860591e-01,3.459682e-03,2.650635e-13,1.466455e-07,1.266374e-03,3.830495e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.176452e-15,-4.470696e-16,2.514764e-15,2.692244e-28,1.257875e-19,1.049790e-15,3.226782e-17,-3.846135e-30,-2.167754e-15,-1.085734e-15,-2.514777e-15,-8.398558e-30,-1.257919e-19,-1.049784e-15,-3.226816e-17,-6.464280e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.698469e-18,1.782969e-17,-1.332245e-20,2.608258e-28,-4.312363e-24,6.094219e-21,-3.385757e-22,-1.031042e-29
30.3341,43.00,350.0000,1.009869e+05,1.000000e+00,Mg,4.280452e-03,1.605090e+00,0.4271%,2.758324e-01,2.879908e-01,3.976957e-03,3.008680e-13,1.634002e-07,1.396608e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.990623e-15,-5.345458e-16,2.502012e-15,2.754256e-28,1.185187e-19,9.797679e-16,-3.534759e-18,-4.600701e-30,-2.132181e-15,-1.068013e-15,-2.520766e-15,-8.879295e-30,-1.184008e-19,-1.004853e-15,-5.937544e-17,-6.603269e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.415583e-16,-5.192603e-17,-1.875390e-17,2.665463e-28,1.179300e-22,-2.508542e-17,-6.291020e-17,-1.120397e-29
