Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_449,1954.1376766060812,M5,6371000.0,5.972e+24,501129.35222918337,7.125359899438941e-05,3.0534387014907375e-05,0.05,0.6666,True,0.77,False,0.55,True,True,422.861,Success
run_444,1656.2744530875254,M5,6371000.0,5.972e+24,39341.60476365432,0.0012140145614977,0.000106729204347,0.05,0.6666,True,0.77,False,0.55,True,True,383.736,Success
run_445,1811.7305084140812,M5,6371000.0,5.972e+24,47999.82017926268,0.124824912075432,3.085194681949732e-06,0.05,0.6666,True,0.77,False,0.55,True,True,403.669,Success
run_446,1986.13749708522,M5,6371000.0,5.972e+24,93737.75207011068,0.1116385304304193,3.248470165486125e-05,0.05,0.6666,True,0.77,False,0.55,True,True,425.711,Success
run_450,1605.6954068801997,M5,6371000.0,5.972e+24,266097.5441687786,0.0003399615300227,0.2908450262644837,0.05,0.6666,True,0.77,False,0.55,True,True,563.873,Success
run_454,666.0390382456163,M5,6371000.0,5.972e+24,55239.186242594085,0.0071342558175571,0.0077445962720492,0.05,0.6666,True,0.77,False,0.55,True,True,329.145,Success
run_453,1870.434769647174,M5,6371000.0,5.972e+24,48428.28142700273,0.0016345634102144,0.004093299807358,0.05,0.6666,True,0.77,False,0.55,True,True,420.291,Success
run_451,1067.8616822878716,M5,6371000.0,5.972e+24,495724.9601458982,0.0215705054952109,0.017139917601061,0.05,0.6666,True,0.77,False,0.55,True,True,528.384,Success
run_452,739.8603933916388,M5,6371000.0,5.972e+24,18588.555906484067,1.76061678660012e-06,2.366522208268504e-06,0.05,0.6666,True,0.77,False,0.55,True,True,280.198,Success
run_455,169.54235303377612,M5,6371000.0,5.972e+24,15339.313452472898,1.729389061979167e-06,5.449814052167751e-05,0.05,0.6666,True,0.77,False,0.55,True,True,204.815,Success
run_456,178.70748529167852,M5,6371000.0,5.972e+24,128964.37585149152,0.0004263171365138,6.281003974169975e-05,0.05,0.6666,True,0.77,False,0.55,True,True,222.98,Success
run_459,1028.243697487309,M5,6371000.0,5.972e+24,109359.39628711682,0.0049113125706984,0.0001807483319379,0.05,0.6666,True,0.77,False,0.55,True,True,352.453,Success
run_460,1509.1739897101957,M5,6371000.0,5.972e+24,640051.1743478425,0.0159845811774777,0.0568778418449288,0.05,0.6666,True,0.77,False,0.55,True,True,555.074,Success
run_458,483.6833396211104,M5,6371000.0,5.972e+24,202932.39490763863,0.0004590312540422,0.5600599910595626,0.05,0.6666,True,0.77,False,0.55,True,True,349.236,Success
run_461,1499.868866731421,M5,6371000.0,5.972e+24,409510.95370456687,0.0006306504554066,0.2547187504825462,0.05,0.6666,True,0.77,False,0.55,True,True,573.75,Success
run_462,1508.3398107994076,M5,6371000.0,5.972e+24,169774.86876416972,4.590209268650252e-06,0.0005235664351492,0.05,0.6666,True,0.77,False,0.55,True,True,387.494,Success
run_463,969.4621257090356,M5,6371000.0,5.972e+24,11770.749693553167,0.0086352418564836,0.039029180865624,0.05,0.6666,True,0.77,False,0.55,True,True,347.744,Success
run_464,478.8542316256122,M5,6371000.0,5.972e+24,310773.18858471327,2.2073969675082983e-05,0.0015655632593259,0.05,0.6666,True,0.77,False,0.55,True,True,300.966,Success
run_465,1783.989268893687,M5,6371000.0,5.972e+24,672034.2833834168,2.060063538545537e-05,0.0020357481076405,0.05,0.6666,True,0.77,False,0.55,True,True,485.8,Success
run_467,521.3415333509138,M5,6371000.0,5.972e+24,837437.0941707038,4.404749506808626e-05,0.0005054876298174,0.05,0.6666,True,0.77,False,0.55,True,True,311.518,Success
run_468,422.6088169233424,M5,6371000.0,5.972e+24,44426.296383915214,0.0007852489524124,0.0473184700177851,0.05,0.6666,True,0.77,False,0.55,True,True,290.926,Success
run_466,1679.4693627896038,M5,6371000.0,5.972e+24,109049.12696368711,0.431393633868257,0.1827674249451499,0.05,0.6666,True,0.77,False,0.55,True,True,563.188,Success
run_457,1603.9473452711793,M5,6371000.0,5.972e+24,12486.35324794283,0.1153969783423778,0.0168846761928707,0.05,0.6666,True,0.77,False,0.55,True,True,395.489,Success
