Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_2,1062.9233963944566,G2,6371000.0,5.972e+24,250857.9601588905,1.1284000600813491e-06,1.1720781869401136e-06,0.05,0.25,True,0.77,False,0.55,True,True,248.241,Success
run_1,1950.6119196940856,G2,6371000.0,5.972e+24,123608.5013003301,0.0254477719612139,1.143385682385555e-06,0.05,0.25,True,0.77,False,0.55,True,True,292.804,Success
run_6,1671.6541510963289,G2,6371000.0,5.972e+24,107269.03133177436,2.5815702292681e-06,1.3031767738927866e-05,0.05,0.25,True,0.77,False,0.55,True,True,274.033,Success
run_3,535.9743764049927,G2,6371000.0,5.972e+24,60762.14022079217,3.8475717592759e-05,0.0002275483524643,0.05,0.25,True,0.77,False,0.55,True,True,216.608,Success
run_5,956.6360730078952,G2,6371000.0,5.972e+24,486981.77692530665,7.504236483206087e-06,0.0004877118137179,0.05,0.25,True,0.77,False,0.55,True,True,280.469,Success
run_4,845.862908033603,G2,6371000.0,5.972e+24,10914.631440039231,0.2089802842630735,0.0001006648469504,0.05,0.25,True,0.77,False,0.55,True,True,235.866,Success
run_7,1921.3300413800412,G2,6371000.0,5.972e+24,53399.044852167724,0.0445449883073927,0.0010532762538561,0.05,0.25,True,0.77,False,0.55,True,True,293.52,Success
run_0,1744.3729393487351,G2,6371000.0,5.972e+24,47939.65522276877,0.7393705198169052,0.0006156238042356,0.05,0.25,True,0.77,False,0.55,True,True,290.219,Success
run_15,1134.4501835169006,G2,6371000.0,5.972e+24,726793.0903228372,3.579281533521126e-05,0.0036714814246322,0.05,0.25,True,0.77,False,0.55,True,True,331.774,Success
run_10,674.0335284758944,G2,6371000.0,5.972e+24,505198.8250568576,1.987638313419148e-05,2.492694314614376e-05,0.05,0.25,True,0.77,False,0.55,True,True,241.203,Success
run_8,1061.029290204945,G2,6371000.0,5.972e+24,15856.601800052233,0.0187047961050528,0.0015143911297071,0.05,0.25,True,0.77,False,0.55,True,True,249.573,Success
run_11,1781.954836918002,G2,6371000.0,5.972e+24,33670.53822652362,0.0042226028436516,0.0730715278316485,0.05,0.25,True,0.77,False,0.55,True,True,296.507,Success
run_9,1550.3628958477811,G2,6371000.0,5.972e+24,21037.01282386053,0.0029092325811846,0.0369650112680027,0.05,0.25,True,0.77,False,0.55,True,True,279.13,Success
run_14,235.353699497138,G2,6371000.0,5.972e+24,25925.468088464426,9.04648765525524e-05,0.105708428691837,0.05,0.25,True,0.77,False,0.55,True,True,199.162,Success
run_12,2002.9498960750057,G2,6371000.0,5.972e+24,12992.64731463231,0.0014881504426519,0.0001955121438222,0.05,0.25,True,0.77,False,0.55,True,True,273.434,Success
run_13,1677.116306042607,G2,6371000.0,5.972e+24,534010.1875269542,4.564869971544453e-06,0.0786289943955856,0.05,0.25,True,0.77,False,0.55,True,True,376.439,Success
run_16,1766.7740218307802,G2,6371000.0,5.972e+24,11069.418059380889,0.0356297601434516,0.0009103443452055,0.05,0.25,True,0.77,False,0.55,True,True,270.3,Success
run_18,497.5531960871278,G2,6371000.0,5.972e+24,19399.29116924332,0.001074604181194,0.0119122604267172,0.05,0.25,True,0.77,False,0.55,True,True,220.586,Success
run_17,1102.9781330253136,G2,6371000.0,5.972e+24,14275.466414890368,7.670128145449943e-06,0.0887726056605243,0.05,0.25,True,0.77,False,0.55,True,True,258.086,Success
run_19,1926.037011571085,G2,6371000.0,5.972e+24,524839.0453187738,2.4164810936623226e-06,0.0027021597248528,0.05,0.25,True,0.77,False,0.55,True,True,361.594,Success
run_20,1960.1219516457288,G2,6371000.0,5.972e+24,116354.018094546,0.0019230999142096,0.0001081409577692,0.05,0.25,True,0.77,False,0.55,True,True,294.704,Success
run_21,894.5122874706686,G2,6371000.0,5.972e+24,136301.59767185035,0.062264222661721,0.1415574028916947,0.05,0.25,True,0.77,False,0.55,True,True,322.852,Success
run_23,367.7904996688389,G2,6371000.0,5.972e+24,216345.88633030295,7.35187339265914e-06,1.3395792686347375e-06,0.05,0.25,True,0.77,False,0.55,True,True,190.902,Success
run_22,876.9420570413104,G2,6371000.0,5.972e+24,347181.3858535935,0.1266530355528942,0.0002403572007727,0.05,0.25,True,0.77,False,0.55,True,True,286.027,Success
run_24,438.7983648122607,G2,6371000.0,5.972e+24,10128.19951804716,0.0056087716277944,0.21916789307459,0.05,0.25,True,0.77,False,0.55,True,True,222.681,Success
run_26,709.5825256173813,G2,6371000.0,5.972e+24,146731.264669058,0.0002416911712724,8.306109252604308e-06,0.05,0.25,True,0.77,False,0.55,True,True,230.44,Success
run_25,802.9496151815822,G2,6371000.0,5.972e+24,238056.56365452253,9.527790930820064e-06,0.0068111586989489,0.05,0.25,True,0.77,False,0.55,True,True,275.745,Success
run_28,2018.1426290288248,G2,6371000.0,5.972e+24,94250.27421464826,0.0041640007468616,7.307967017339557e-05,0.05,0.25,True,0.77,False,0.55,True,True,293.481,Success
run_27,1154.050525290534,G2,6371000.0,5.972e+24,14862.295948790474,0.5997713669792296,0.5230474176900983,0.05,0.25,True,0.77,False,0.55,True,True,275.81,Success
run_29,1572.9060935611774,G2,6371000.0,5.972e+24,18318.944830035445,0.2894235897942351,5.95180565073346e-06,0.05,0.25,True,0.77,False,0.55,True,True,269.076,Success
run_30,961.6885703188836,G2,6371000.0,5.972e+24,320656.39340739726,0.0003694084862381,2.8822989939204936e-05,0.05,0.25,True,0.77,False,0.55,True,True,261.989,Success
