Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_3,136.0,M5,6371000,5.972e+24,100000.01999999999,0.01,0.01,0.5249999999999999,0.666,True,0.77,False,0,True,True,198.939,Success
run_0,136.0,M5,6371000,5.972e+24,100000.01999999999,0.01,0.01,0.0,0.666,True,0.77,False,0,True,True,200.765,Success
run_2,136.0,M5,6371000,5.972e+24,100000.01999999999,0.01,0.01,0.35,0.666,True,0.77,False,0,True,True,199.866,Success
run_7,136.0,M5,6371000,5.972e+24,100000.11,0.01,0.1,0.35,0.666,True,0.77,False,0,True,True,199.93,Success
run_5,136.0,M5,6371000,5.972e+24,100000.11,0.01,0.1,0.0,0.666,True,0.77,False,0,True,True,202.101,Success
run_6,136.0,M5,6371000,5.972e+24,100000.11,0.01,0.1,0.175,0.666,True,0.77,False,0,True,True,201.226,Success
run_1,136.0,M5,6371000,5.972e+24,100000.01999999999,0.01,0.01,0.175,0.666,True,0.77,False,0,True,True,200.408,Success
run_4,136.0,M5,6371000,5.972e+24,100000.01999999999,0.01,0.01,0.7,0.666,True,0.77,False,0,True,True,196.982,Success
run_8,136.0,M5,6371000,5.972e+24,100000.11,0.01,0.1,0.5249999999999999,0.666,True,0.77,False,0,True,True,197.822,Success
run_14,136.0,M5,6371000,5.972e+24,100001.01,0.01,1.0,0.7,0.666,True,0.77,False,0,True,True,192.378,Success
run_12,136.0,M5,6371000,5.972e+24,100001.01,0.01,1.0,0.35,0.666,True,0.77,False,0,True,True,201.893,Success
run_13,136.0,M5,6371000,5.972e+24,100001.01,0.01,1.0,0.5249999999999999,0.666,True,0.77,False,0,True,True,198.577,Success
run_11,136.0,M5,6371000,5.972e+24,100001.01,0.01,1.0,0.175,0.666,True,0.77,False,0,True,True,203.967,Success
run_10,136.0,M5,6371000,5.972e+24,100001.01,0.01,1.0,0.0,0.666,True,0.77,False,0,True,True,205.398,Success
run_15,136.0,M5,6371000,5.972e+24,100010.01,0.01,10.0,0.0,0.666,True,0.77,False,0,True,True,211.233,Success
run_9,136.0,M5,6371000,5.972e+24,100000.11,0.01,0.1,0.7,0.666,True,0.77,False,0,True,True,193.674,Success
run_16,136.0,M5,6371000,5.972e+24,100010.01,0.01,10.0,0.175,0.666,True,0.77,False,0,True,True,209.64,Success
run_19,136.0,M5,6371000,5.972e+24,100010.01,0.01,10.0,0.7,0.666,True,0.77,False,0,True,True,198.155,Success
run_17,136.0,M5,6371000,5.972e+24,100010.01,0.01,10.0,0.35,0.666,True,0.77,False,0,True,True,207.405,Success
run_18,136.0,M5,6371000,5.972e+24,100010.01,0.01,10.0,0.5249999999999999,0.666,True,0.77,False,0,True,True,204.027,Success
run_23,136.0,M5,6371000,5.972e+24,100100.01,0.01,100.0,0.5249999999999999,0.666,True,0.77,False,0,True,True,211.968,Success
run_22,136.0,M5,6371000,5.972e+24,100100.01,0.01,100.0,0.35,0.666,True,0.77,False,0,True,True,215.083,Success
run_21,136.0,M5,6371000,5.972e+24,100100.01,0.01,100.0,0.175,0.666,True,0.77,False,0,True,True,217.256,Success
run_20,136.0,M5,6371000,5.972e+24,100100.01,0.01,100.0,0.0,0.666,True,0.77,False,0,True,True,218.86,Success
run_26,136.0,M5,6371000,5.972e+24,101000.01,0.01,1000.0,0.175,0.666,True,0.77,False,0,True,True,226.293,Success
run_28,136.0,M5,6371000,5.972e+24,101000.01,0.01,1000.0,0.5249999999999999,0.666,True,0.77,False,0,True,True,222.301,Success
run_27,136.0,M5,6371000,5.972e+24,101000.01,0.01,1000.0,0.35,0.666,True,0.77,False,0,True,True,224.509,Success
run_25,136.0,M5,6371000,5.972e+24,101000.01,0.01,1000.0,0.0,0.666,True,0.77,False,0,True,True,227.726,Success
run_30,136.0,M5,6371000,5.972e+24,110000.01,0.01,10000.0,0.0,0.666,True,0.77,False,0,True,True,238.853,Success
