,x_co2,S,T
0,1e-06,0.1,177.376
1,1e-06,0.15833333333333333,194.842
2,1e-06,0.21666666666666667,207.878
3,1e-06,0.275,218.92
4,1e-06,0.3333333333333333,228.201
5,1e-06,0.3916666666666666,236.285
6,1e-06,0.44999999999999996,243.517
7,1e-06,0.5083333333333333,249.904
8,1e-06,0.5666666666666667,255.505
9,1e-06,0.6249999999999999,260.4
10,1e-06,0.6833333333333332,264.688
11,1e-06,0.7416666666666666,268.617
12,1e-06,0.7999999999999999,272.277
13,1e-06,0.8583333333333333,275.667
14,1e-06,0.9166666666666665,278.854
15,1e-06,0.9749999999999999,281.898
16,1e-06,1.0333333333333332,284.878
17,1e-06,1.0916666666666666,287.792
18,1e-06,1.15,290.657
19,1e-06,1.2083333333333333,293.572
20,1e-06,1.2666666666666666,296.157
21,1e-06,1.325,339.777
22,1e-06,1.3833333333333333,345.676
23,1e-06,1.4416666666666667,351.686
24,1e-06,1.5,357.693
25,1.778279410038923e-06,0.1,177.731
26,1.778279410038923e-06,0.15833333333333333,195.263
27,1.778279410038923e-06,0.21666666666666667,208.322
28,1.778279410038923e-06,0.275,219.397
29,1.778279410038923e-06,0.3333333333333333,228.693
30,1.778279410038923e-06,0.3916666666666666,236.78
31,1.778279410038923e-06,0.44999999999999996,244.015
32,1.778279410038923e-06,0.5083333333333333,250.38
33,1.778279410038923e-06,0.5666666666666667,255.958
34,1.778279410038923e-06,0.6249999999999999,260.827
35,1.778279410038923e-06,0.6833333333333332,265.095
36,1.778279410038923e-06,0.7416666666666666,269.026
37,1.778279410038923e-06,0.7999999999999999,272.672
38,1.778279410038923e-06,0.8583333333333333,276.056
39,1.778279410038923e-06,0.9166666666666665,279.237
40,1.778279410038923e-06,0.9749999999999999,282.285
41,1.778279410038923e-06,1.0333333333333332,285.263
42,1.778279410038923e-06,1.0916666666666666,288.178
43,1.778279410038923e-06,1.15,291.054
44,1.778279410038923e-06,1.2083333333333333,293.908
45,1.778279410038923e-06,1.2666666666666666,296.481
46,1.778279410038923e-06,1.325,339.885
47,1.778279410038923e-06,1.3833333333333333,345.778
