Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.2,1.0,0.0001,1.0,0.05,0.3,0.25,191.13138836142946
0.2,1.0,0.0001,10.0,0.05,0.3,0.25,184.25800568327156
0.2,1.0,0.0001,0.1,0.05,0.3,0.25,184.90957454569892
0.2,1.0,0.001,0.001,0.05,0.3,0.25,188.65832201498694
0.2,1.0,0.001,1e-06,0.05,0.3,0.25,183.06981996187548
0.2,1.0,0.001,0.1,0.05,0.3,0.25,194.20393094680762
0.2,1.0,0.001,0.0001,0.05,0.3,0.25,186.28920611522543
0.2,1.0,0.0001,0.01,0.05,0.3,0.25,182.46640175053253
0.2,1.0,0.001,1e-05,0.05,0.3,0.25,184.6176135502543
0.2,1.0,0.001,0.01,0.05,0.3,0.25,191.13083127750977
0.2,1.0,0.001,10.0,0.05,0.3,0.25,192.68166847758457
0.2,1.0,0.01,1e-05,0.05,0.3,0.25,192.23026356439797
0.2,1.0,0.001,1.0,0.05,0.3,0.25,202.99925504544598
0.2,1.0,0.01,0.01,0.05,0.3,0.25,200.43497829039015
0.2,1.0,0.01,10.0,0.05,0.3,0.25,204.10800604896642
0.2,1.0,0.01,1e-06,0.05,0.3,0.25,190.31043508173127
0.2,1.0,0.01,0.0001,0.05,0.3,0.25,194.36233411843168
0.2,1.0,0.01,1.0,0.05,0.3,0.25,215.8826441987564
0.2,1.0,0.01,0.1,0.05,0.3,0.25,204.27627475009479
0.2,1.0,0.1,1e-06,0.05,0.3,0.25,191.96550095482547
0.2,1.0,0.1,1e-05,0.05,0.3,0.25,193.9774284189038
0.2,1.0,0.1,0.0001,0.05,0.3,0.25,196.22625749037974
0.2,1.0,0.01,0.001,0.05,0.3,0.25,197.3428271071133
0.2,1.0,0.1,0.01,0.05,0.3,0.25,202.59504568096085
0.2,1.0,0.1,10.0,0.05,0.3,0.25,206.6631449026851
0.2,1.0,0.1,0.001,0.05,0.3,0.25,199.38581102602257
0.2,1.0,0.1,1.0,0.05,0.3,0.25,218.89995373308963
0.2,1.0,1.0,0.1,0.05,0.3,0.25,209.42716485080075
0.2,1.0,1.0,1e-05,0.05,0.3,0.25,195.14131718722822
0.2,1.0,1.0,0.01,0.05,0.3,0.25,204.5859266109776
0.2,1.0,1.0,0.0001,0.05,0.3,0.25,197.56700470248484
0.2,1.0,10.0,1e-06,0.05,0.3,0.25,191.18427484129256
0.2,1.0,10.0,1e-05,0.05,0.3,0.25,193.44044991537223
0.2,1.0,1.0,1.0,0.05,0.3,0.25,221.59123137472594
0.2,1.0,0.1,0.1,0.05,0.3,0.25,206.71570644869203
0.2,1.0,1.0,10.0,0.05,0.3,0.25,207.1010789442051
0.2,1.0,1.0,1e-06,0.05,0.3,0.25,193.04298298928836
0.2,1.0,10.0,0.0001,0.05,0.3,0.25,196.2726346504543
0.2,1.0,10.0,0.001,0.05,0.3,0.25,200.64034692885727
0.2,1.0,1.0,0.001,0.05,0.3,0.25,201.131130902138
0.3,1.0,1e-06,1e-06,0.05,0.3,0.25,185.1452254817683
0.3,1.0,1e-06,1e-05,0.05,0.3,0.25,186.3709712649077
0.2,1.0,10.0,0.01,0.05,0.3,0.25,205.40952821905682
0.3,1.0,1e-06,0.01,0.05,0.3,0.25,191.26073995539969
0.3,1.0,1e-06,0.0001,0.05,0.3,0.25,187.7079006344744
0.3,1.0,1e-06,0.1,0.05,0.3,0.25,193.31712836968347
0.3,1.0,1e-06,0.001,0.05,0.3,0.25,189.4918119260335
0.2,1.0,10.0,10.0,0.05,0.3,0.25,209.8812471178185
0.3,1.0,1e-06,1.0,0.05,0.3,0.25,198.60959273580391
0.3,1.0,1e-05,1e-05,0.05,0.3,0.25,189.88262521919094
0.3,1.0,1e-06,10.0,0.05,0.3,0.25,198.84013509357374
0.3,1.0,1e-05,0.0001,0.05,0.3,0.25,191.38631436667677
0.2,1.0,10.0,0.1,0.05,0.3,0.25,211.37394689949235
0.3,1.0,1e-05,0.001,0.05,0.3,0.25,193.38900184886276
0.3,1.0,1e-05,1e-06,0.05,0.3,0.25,188.50776118540463
0.2,1.0,10.0,1.0,0.05,0.3,0.25,222.23835949181344
0.3,1.0,1e-05,0.01,0.05,0.3,0.25,195.39939205293928
0.3,1.0,1e-05,1.0,0.05,0.3,0.25,204.14987941303727
0.3,1.0,1e-05,10.0,0.05,0.3,0.25,201.22398682826815
0.3,1.0,1e-05,0.1,0.05,0.3,0.25,197.81385753560326
0.3,1.0,0.0001,1e-06,0.05,0.3,0.25,193.62967281038192
0.3,1.0,0.0001,0.0001,0.05,0.3,0.25,197.0332497421105
0.3,1.0,0.0001,1e-05,0.05,0.3,0.25,195.23511593250046
0.3,1.0,0.0001,0.001,0.05,0.3,0.25,199.4137028457136
0.3,1.0,0.0001,10.0,0.05,0.3,0.25,206.6912901073795
0.3,1.0,0.001,1e-05,0.05,0.3,0.25,202.5300116105993
0.3,1.0,0.001,0.1,0.05,0.3,0.25,214.48250537565104
0.3,1.0,0.001,1.0,0.05,0.3,0.25,226.75896621604153
0.3,1.0,0.0001,0.01,0.05,0.3,0.25,201.79481437161363
0.3,1.0,0.001,10.0,0.05,0.3,0.25,216.27455458547396
0.3,1.0,0.0001,0.1,0.05,0.3,0.25,204.8168974896275
0.3,1.0,0.0001,1.0,0.05,0.3,0.25,213.71478905113796
0.3,1.0,0.001,0.01,0.05,0.3,0.25,210.58015701519653
0.3,1.0,0.001,1e-06,0.05,0.3,0.25,200.5916630119223
0.3,1.0,0.01,1e-06,0.05,0.3,0.25,208.10306938032195
0.3,1.0,0.001,0.001,0.05,0.3,0.25,207.66757852358873
0.3,1.0,0.01,1e-05,0.05,0.3,0.25,210.42309767079055
0.3,1.0,0.01,0.01,0.05,0.3,0.25,220.1845124374877
0.3,1.0,0.01,0.001,0.05,0.3,0.25,216.6530485480651
0.3,1.0,0.001,0.0001,0.05,0.3,0.25,204.74643886118344
0.3,1.0,0.01,0.0001,0.05,0.3,0.25,213.11818856993008
0.3,1.0,0.01,10.0,0.05,0.3,0.25,227.94173034895135
0.3,1.0,0.01,0.1,0.05,0.3,0.25,225.15179158503585
0.3,1.0,0.01,1.0,0.05,0.3,0.25,240.42258388232426
0.3,1.0,0.1,1.0,0.05,0.3,0.25,243.5193837379153
0.3,1.0,0.1,1e-05,0.05,0.3,0.25,212.2008222206563
0.3,1.0,0.1,0.001,0.05,0.3,0.25,218.7123797773343
0.3,1.0,0.1,0.0001,0.05,0.3,0.25,215.03530170433888
0.3,1.0,1.0,1e-06,0.05,0.3,0.25,210.68720319344183
0.3,1.0,1.0,1e-05,0.05,0.3,0.25,213.20572058092066
0.3,1.0,0.1,1e-06,0.05,0.3,0.25,209.78196391004647
0.3,1.0,1.0,0.0001,0.05,0.3,0.25,216.20150023297256
0.3,1.0,1.0,0.01,0.05,0.3,0.25,224.0740129016018
0.3,1.0,1.0,1.0,0.05,0.3,0.25,245.95791604297168
0.3,1.0,0.1,0.01,0.05,0.3,0.25,222.38002505869466
0.3,1.0,1.0,0.1,0.05,0.3,0.25,230.5366183849096
