Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_1,1337.6999684531972,M5,6371000.0,5.972e+24,511372.67913003766,5.714974511357954e-06,2.1843944107250376e-05,0.05,0.6666,True,0.77,False,0.55,True,True,376.69,Success
run_4,1900.2274336133282,M5,6371000.0,5.972e+24,22278.947812426173,0.009545021790228144,0.043146887969621885,0.05,0.6666,True,0.77,False,0.55,True,True,428.401,Success
run_5,1110.2756315781444,M5,6371000.0,5.972e+24,556730.0473806601,0.00018703183512408885,0.012477545477842708,0.05,0.6666,True,0.77,False,0.55,True,True,484.552,Success
run_3,1396.3569316590672,M5,6371000.0,5.972e+24,279286.8130574846,0.9482528282925012,0.17486483806001524,0.05,0.6666,True,0.77,False,0.55,True,True,534.145,Success
run_0,2022.5822804847176,M5,6371000.0,5.972e+24,151693.1842663754,0.00023886456169322387,0.799748589750081,0.05,0.6666,True,0.77,False,0.55,True,True,578.987,Success
run_9,1795.0787051220027,M5,6371000.0,5.972e+24,904599.0216465018,0.08748013483532541,0.02666530437764829,0.05,0.6666,True,0.77,False,0.55,True,True,560.247,Success
run_6,1127.2305489741111,M5,6371000.0,5.972e+24,13737.847753342417,0.5556680131801671,1.0023217432795988e-05,0.05,0.6666,True,0.77,False,0.55,True,True,352.928,Success
run_7,867.9691175268946,M5,6371000.0,5.972e+24,130253.72536463961,0.0003990015053181065,5.023620529600407e-06,0.05,0.6666,True,0.77,False,0.55,True,True,328.023,Success
run_2,482.52036691489303,M5,6371000.0,5.972e+24,337372.06462129543,4.151751327897201e-06,0.2679052562830382,0.05,0.6666,True,0.77,False,0.55,True,True,356.781,Success
run_15,1747.912837642968,M5,6371000.0,5.972e+24,676178.0808264056,1.0277446242234706e-06,0.00013874153257909352,0.05,0.6666,True,0.77,False,0.55,True,True,412.54,Success
run_13,1633.978518897905,M5,6371000.0,5.972e+24,162332.04118506834,0.004068628467823053,0.01415548084144677,0.05,0.6666,True,0.77,False,0.55,True,True,477.856,Success
run_8,1306.6381870086389,M5,6371000.0,5.972e+24,10892.035503794858,0.000728498203788445,0.00014386012743287216,0.05,0.6666,True,0.77,False,0.55,True,True,355.575,Success
run_16,390.1695572183076,M5,6371000.0,5.972e+24,173734.4314784369,0.00013002370327403048,0.0015343194429413415,0.05,0.6666,True,0.77,False,0.55,True,True,288.814,Success
run_10,1942.8988160747715,M5,6371000.0,5.972e+24,78246.52596913015,0.0009928116376065007,1.279540846180113e-06,0.05,0.6666,True,0.77,False,0.55,True,True,397.678,Success
run_12,1393.2054481617308,M5,6371000.0,5.972e+24,10410.278116816236,4.6846909101434416e-05,0.0002061537647252742,0.05,0.6666,True,0.77,False,0.55,True,True,360.626,Success
run_11,1221.2225672984866,M5,6371000.0,5.972e+24,57975.73021234697,0.21937873606035274,1.0547476791920426e-06,0.05,0.6666,True,0.77,False,0.55,True,True,366.919,Success
run_17,1343.420254587385,M5,6371000.0,5.972e+24,99085.83953019023,1.5199471889346815e-06,0.047961376362544654,0.05,0.6666,True,0.77,False,0.55,True,True,410.624,Success
run_19,2033.0891909065047,M5,6371000.0,5.972e+24,275242.44942960696,0.00041981692599468403,0.0021124841968691377,0.05,0.6666,True,0.77,False,0.55,True,True,470.09,Success
run_22,703.9151368079247,M5,6371000.0,5.972e+24,20195.5512484521,0.02200785972823188,0.13488227795608052,0.05,0.6666,True,0.77,False,0.55,True,True,331.997,Success
run_24,165.34612276212357,M5,6371000.0,5.972e+24,125498.02010361,0.71679758154905,3.487600923615889e-06,0.05,0.6666,True,0.77,False,0.55,True,True,211.944,Success
