Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_129,460.70739842316044,G2,6371000,5.972e+24,101227.30658867538,227.30658867536974,1000,0.05,0.25,True,0.77,True,0.6,True,True,239.527,Success
run_130,994.2447334627507,G2,6371000,5.972e+24,101538.48220998835,538.4822099883417,1000,0.05,0.25,True,0.77,True,0.6,True,True,278.007,Success
run_128,1412.2306337783925,G2,6371000,5.972e+24,105514.87614511317,4514.876145113166,1000,0.05,0.25,True,0.77,True,0.6,True,True,328.833,Success
run_131,137.80409346017112,G2,6371000,5.972e+24,101819.77827855204,819.7782785520352,1000,0.05,0.25,True,0.77,True,0.6,True,True,186.057,Success
run_132,1258.4307089817414,G2,6371000,5.972e+24,108271.28471478524,7271.284714785241,1000,0.05,0.25,True,0.77,True,0.6,True,True,294.008,Success
run_133,930.1487808729821,G2,6371000,5.972e+24,304592.2459026824,203592.24590268245,1000,0.05,0.25,True,0.77,True,0.6,True,True,333.252,Success
run_135,1716.7408704569752,G2,6371000,5.972e+24,101032.1974214571,32.19742145709781,1000,0.05,0.25,True,0.77,True,0.6,True,True,337.971,Success
run_136,1629.1169215530995,G2,6371000,5.972e+24,125988.257322717,24988.257322717003,1000,0.05,0.25,True,0.77,True,0.6,True,True,346.546,Success
run_138,578.5315751175533,G2,6371000,5.972e+24,101007.91036308299,7.910363082994944,1000,0.05,0.25,True,0.77,True,0.6,True,True,245.798,Success
run_137,487.9235332617878,G2,6371000,5.972e+24,102099.62333436344,1099.6233343634387,1000,0.05,0.25,True,0.77,True,0.6,True,True,244.225,Success
run_139,1292.4287163523543,G2,6371000,5.972e+24,101001.0615423501,1.0615423500953851,1000,0.05,0.25,True,0.77,True,0.6,True,True,282.64,Success
run_140,620.9102757227589,G2,6371000,5.972e+24,101001.27184889225,1.2718488922505204,1000,0.05,0.25,True,0.77,True,0.6,True,True,246.88,Success
run_141,1593.9343537968189,G2,6371000,5.972e+24,585503.4065814354,484503.4065814354,1000,0.05,0.25,True,0.77,True,0.6,True,True,373.445,Success
run_142,1309.6961994062888,G2,6371000,5.972e+24,101001.47567027969,1.4756702796932792,1000,0.05,0.25,True,0.77,True,0.6,True,True,283.71,Success
run_143,702.36461613712,G2,6371000,5.972e+24,104608.76917246317,3608.7691724631727,1000,0.05,0.25,True,0.77,True,0.6,True,True,264.592,Success
run_144,244.97713150216555,G2,6371000,5.972e+24,101397.12852200396,397.12852200395605,1000,0.05,0.25,True,0.77,True,0.6,True,True,209.609,Success
run_147,1050.7729403733904,G2,6371000,5.972e+24,101014.80666578484,14.806665784839492,1000,0.05,0.25,True,0.77,True,0.6,True,True,276.039,Success
