Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_7316,1632.0,G2,6371000,5.972e+24,100020.0,10.0,10.0,0.5249999999999999,0.25,True,0.77,False,0.0,False,True,288.737,Success
run_7309,1632.0,G2,6371000,5.972e+24,100011.0,10.0,1.0,0.7,0.25,True,0.77,False,0.5,False,True,247.436,Success
run_7318,1632.0,G2,6371000,5.972e+24,100020.0,10.0,10.0,0.7,0.25,True,0.77,False,0.0,False,True,275.33,Success
run_7315,1632.0,G2,6371000,5.972e+24,100020.0,10.0,10.0,0.35,0.25,True,0.77,False,0.5,False,True,272.951,Success
run_7320,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.0,0.25,True,0.77,False,0.0,False,True,317.458,Success
run_7322,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.175,0.25,True,0.77,False,0.0,False,True,312.673,Success
run_7317,1632.0,G2,6371000,5.972e+24,100020.0,10.0,10.0,0.5249999999999999,0.25,True,0.77,False,0.5,False,True,264.473,Success
run_7324,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.35,0.25,True,0.77,False,0.0,False,True,306.908,Success
run_7321,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.0,0.25,True,0.77,False,0.5,False,True,293.741,Success
run_7319,1632.0,G2,6371000,5.972e+24,100020.0,10.0,10.0,0.7,0.25,True,0.77,False,0.5,False,True,252.36,Success
run_7326,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.5249999999999999,0.25,True,0.77,False,0.0,False,True,299.27,Success
run_7323,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.175,0.25,True,0.77,False,0.5,False,True,289.052,Success
run_7328,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.7,0.25,True,0.77,False,0.0,False,True,286.851,Success
run_7325,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.35,0.25,True,0.77,False,0.5,False,True,282.834,Success
run_7330,1632.0,G2,6371000,5.972e+24,101010.0,10.0,1000.0,0.0,0.25,True,0.77,False,0.0,False,True,326.579,Success
run_7327,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.5249999999999999,0.25,True,0.77,False,0.5,False,True,274.788,Success
run_7332,1632.0,G2,6371000,5.972e+24,101010.0,10.0,1000.0,0.175,0.25,True,0.77,False,0.0,False,True,321.675,Success
run_7334,1632.0,G2,6371000,5.972e+24,101010.0,10.0,1000.0,0.35,0.25,True,0.77,False,0.0,False,True,316.43,Success
run_7331,1632.0,G2,6371000,5.972e+24,101010.0,10.0,1000.0,0.0,0.25,True,0.77,False,0.5,False,True,305.387,Success
run_7329,1632.0,G2,6371000,5.972e+24,100110.0,10.0,100.0,0.7,0.25,True,0.77,False,0.5,False,True,264.339,Success
run_7336,1632.0,G2,6371000,5.972e+24,101010.0,10.0,1000.0,0.5249999999999999,0.25,True,0.77,False,0.0,False,True,310.225,Success
run_7333,1632.0,G2,6371000,5.972e+24,101010.0,10.0,1000.0,0.175,0.25,True,0.77,False,0.5,False,True,301.286,Success
