,Run_ID,Instellation (S0),Albedo,P_CO2 (bar),Surface_Temp (K),Status
118,test,0.5,0.25,1e-06,217.92367346881855,Success
119,test,0.5,0.25,1e-05,220.0636451981773,Success
120,test,0.5,0.25,0.0001,222.74739161402945,Success
121,test,0.5,0.25,0.001,226.23880922729268,Success
122,test,0.5,0.25,0.01,230.46898165280493,Success
123,test,0.5,0.25,0.1,239.4783686347637,Success
124,test,0.5,0.25,1.0,268.69525471333304,Success
125,test,0.5,0.25,10.0,249.09035714949917,Interpolated
126,test,0.5,0.5,1e-07,196.57333303171325,Success
127,test,0.5,0.5,1e-06,195.38675326631008,Interpolated
128,test,0.5,0.5,1e-05,199.30566144814097,Success
129,test,0.5,0.5,0.0001,201.3513696717124,Success
130,test,0.5,0.5,0.001,204.13796111877525,Success
131,test,0.5,0.5,0.01,207.64052533015143,Success
132,test,0.5,0.5,0.1,213.53793256516093,Success
133,test,0.5,0.5,1.0,232.09722854126133,Success
134,test,0.5,0.5,10.0,249.5816812724637,Interpolated
135,test,0.6,0.0,1e-07,245.19494768871195,Success
136,test,0.6,0.0,1e-06,246.9433636995591,Success
137,test,0.6,0.0,1e-05,250.1137080019693,Success
138,test,0.6,0.0,0.0001,254.21243285316456,Success
139,test,0.6,0.0,0.001,259.38429865582174,Success
140,test,0.6,0.0,0.01,266.399856563834,Success
141,test,0.6,0.0,0.1,282.46857109613035,Success
142,test,0.6,0.0,1.0,313.88544949983674,Success
143,test,0.6,0.0,10.0,290.47054912615437,Interpolated
144,test,0.6,0.25,1e-07,227.66906546482156,Success
145,test,0.6,0.25,1e-06,229.1292477748829,Success
146,test,0.6,0.25,1e-05,231.6818299354836,Success
147,test,0.6,0.25,0.0001,234.9482078975752,Success
148,test,0.6,0.25,0.001,239.2077654103841,Success
149,test,0.6,0.25,0.01,244.65364965884424,Success
150,test,0.6,0.25,0.1,257.6702527073404,Success
151,test,0.6,0.25,1.0,296.0124996215113,Success
152,test,0.6,0.25,10.0,291.37010593979306,Interpolated
153,test,0.6,0.5,1e-07,205.86193615171103,Success
154,test,0.6,0.5,1e-06,207.03631675340583,Success
155,test,0.6,0.5,1e-05,208.95255391385928,Success
156,test,0.6,0.5,0.0001,211.35305150247527,Success
157,test,0.6,0.5,0.001,214.60361853026515,Success
158,test,0.6,0.5,0.01,218.71375049059208,Success
159,test,0.6,0.5,0.1,226.79328356828853,Success
160,test,0.6,0.5,1.0,256.1738746610181,Success
161,test,0.6,0.5,10.0,289.9508288639173,Interpolated
162,test,0.7,0.0,1e-07,257.24732987955576,Success
163,test,0.7,0.0,1e-06,259.27866068336715,Success
164,test,0.7,0.0,1e-05,263.05314147942056,Success
165,test,0.7,0.0,0.0001,267.9752047915638,Success
166,test,0.7,0.0,0.001,274.2071419920632,Success
167,test,0.7,0.0,0.01,283.69824213882765,Success
168,test,0.7,0.0,0.1,304.3850796263965,Success
169,test,0.7,0.0,1.0,335.4067739606193,Interpolated
170,test,0.7,0.0,10.0,326.7860355286082,Interpolated
171,test,0.7,0.25,1e-07,238.09385963735625,Success
172,test,0.7,0.25,1e-06,239.7781068132089,Success
173,test,0.7,0.25,1e-05,242.696234507174,Interpolated
174,test,0.7,0.25,0.0001,246.75766439914275,Success
175,test,0.7,0.25,0.001,251.9408470493694,Success
176,test,0.7,0.25,0.01,259.07343972743564,Success
177,test,0.7,0.25,0.1,277.01533311498184,Success
178,test,0.7,0.25,1.0,317.58259640008873,Success
179,test,0.7,0.25,10.0,328.36908789596947,Interpolated
180,test,0.7,0.5,1e-07,214.3717163564629,Success
181,test,0.7,0.5,1e-06,215.66973639395425,Success
