,Run_ID,Instellation (S0),Albedo,P_CO2 (bar),Surface_Temp (K),Status
118,test,0.5,0.25,1e-06,249.16022065810216,Success
119,test,0.5,0.25,1e-05,251.71957611668148,Success
120,test,0.5,0.25,0.0001,254.76405337140716,Success
121,test,0.5,0.25,0.001,259.0897421472374,Success
122,test,0.5,0.25,0.01,267.01333893403387,Success
123,test,0.5,0.25,0.1,284.4207874998292,Success
124,test,0.5,0.25,1.0,322.55727348135827,Success
125,test,0.5,0.25,10.0,296.5879662165901,Interpolated
126,test,0.5,0.5,1e-07,223.33717668612923,Success
127,test,0.5,0.5,1e-06,223.507425909676,Success
128,test,0.5,0.5,1e-05,225.40336202337087,Success
129,test,0.5,0.5,0.0001,227.87286427027,Success
130,test,0.5,0.5,0.001,230.9459896047919,Success
131,test,0.5,0.5,0.01,238.1398120127542,Success
132,test,0.5,0.5,0.1,252.19346126834336,Success
133,test,0.5,0.5,1.0,309.0082441991334,Success
134,test,0.5,0.5,10.0,270.5265388061726,Interpolated
135,test,0.6,0.0,1e-07,284.26107833608467,Success
136,test,0.6,0.0,1e-06,286.3727992424266,Success
137,test,0.6,0.0,1e-05,290.4206642270344,Success
138,test,0.6,0.0,0.0001,295.37874403651887,Success
139,test,0.6,0.0,0.001,301.748841204541,Success
140,test,0.6,0.0,0.01,310.16275339973816,Success
141,test,0.6,0.0,0.1,325.2102465671874,Success
142,test,0.6,0.0,1.0,347.8654901644845,Success
143,test,0.6,0.0,10.0,375.1669501454971,Interpolated
144,test,0.6,0.25,1e-07,264.5821514580513,Success
145,test,0.6,0.25,1e-06,265.9337470072536,Success
146,test,0.6,0.25,1e-05,269.8383435191574,Success
147,test,0.6,0.25,0.0001,274.8032065125642,Success
148,test,0.6,0.25,0.001,282.2596886039227,Success
149,test,0.6,0.25,0.01,292.03443282640444,Interpolated
150,test,0.6,0.25,0.1,312.01457617137385,Success
151,test,0.6,0.25,1.0,344.00760196702515,Success
152,test,0.6,0.25,10.0,333.7403856769995,Interpolated
153,test,0.6,0.5,1e-07,236.58951514439613,Success
154,test,0.6,0.5,1e-06,237.130616649908,Success
155,test,0.6,0.5,1e-05,239.757608767528,Success
156,test,0.6,0.5,0.0001,243.05343752642625,Success
157,test,0.6,0.5,0.001,247.98303054255237,Success
158,test,0.6,0.5,0.01,259.39869915326216,Success
159,test,0.6,0.5,0.1,288.91764698830684,Success
160,test,0.6,0.5,1.0,338.9035735558174,Success
161,test,0.6,0.5,10.0,318.031830641768,Interpolated
162,test,0.7,0.0,1e-07,303.20002127945594,Success
163,test,0.7,0.0,1e-06,305.4341368474669,Success
164,test,0.7,0.0,1e-05,310.0897764368887,Success
165,test,0.7,0.0,0.0001,316.65673554181615,Success
166,test,0.7,0.0,0.001,324.62970663075555,Success
167,test,0.7,0.0,0.01,335.86038337384144,Success
168,test,0.7,0.0,0.1,347.5636070248197,Success
169,test,0.7,0.0,1.0,350.0,Runaway
170,test,0.7,0.0,10.0,350.0,Runaway
171,test,0.7,0.25,1e-07,282.2886380000796,Success
172,test,0.7,0.25,1e-06,284.977017739683,Success
173,test,0.7,0.25,1e-05,290.2222606720246,Success
174,test,0.7,0.25,0.0001,296.99138356431047,Success
175,test,0.7,0.25,0.001,306.75794991364324,Success
176,test,0.7,0.25,0.01,320.67921864874324,Success
177,test,0.7,0.25,0.1,340.5658316248614,Success
178,test,0.7,0.25,1.0,350.0,Runaway
179,test,0.7,0.25,10.0,350.0,Runaway
180,test,0.7,0.5,1e-07,250.87058869739565,Success
181,test,0.7,0.5,1e-06,251.94715722000575,Success
182,test,0.7,0.5,1e-05,255.722572961635,Success
183,test,0.7,0.5,0.0001,260.8957383711863,Success
184,test,0.7,0.5,0.001,271.76369732193723,Success
185,test,0.7,0.5,0.01,291.84101456247583,Success
186,test,0.7,0.5,0.1,328.6080503120882,Success
187,test,0.7,0.5,1.0,350.0,Runaway
188,test,0.7,0.5,10.0,350.0,Runaway
189,test,0.7999999999999999,0.0,1e-07,350.0,Runaway
190,test,0.7999999999999999,0.0,1e-06,350.0,Runaway
191,test,0.7999999999999999,0.0,1e-05,350.0,Runaway
192,test,0.7999999999999999,0.0,0.0001,350.0,Runaway
193,test,0.7999999999999999,0.0,0.001,350.0,Runaway
194,test,0.7999999999999999,0.0,0.01,350.0,Runaway
195,test,0.7999999999999999,0.0,0.1,350.0,Runaway
196,test,0.7999999999999999,0.0,1.0,350.0,Runaway
197,test,0.7999999999999999,0.0,10.0,350.0,Runaway
198,test,0.7999999999999999,0.25,1e-07,350.0,Runaway
199,test,0.7999999999999999,0.25,1e-06,307.8518037460191,Success
200,test,0.7999999999999999,0.25,1e-05,315.25154356530027,Success
201,test,0.7999999999999999,0.25,0.0001,326.5480366035309,Success
202,test,0.7999999999999999,0.25,0.001,341.87012071119057,Success
203,test,0.7999999999999999,0.25,0.01,350.0,Runaway
204,test,0.7999999999999999,0.25,0.1,350.0,Runaway
205,test,0.7999999999999999,0.25,1.0,350.0,Runaway
206,test,0.7999999999999999,0.25,10.0,350.0,Runaway
